	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16
ABHD10	1421	1151	828	1309	1783	1487	2959	2149	730	871	746	563	997	1635	1734	825
ABHD11	977	745	604	910	1099	763	1905	1349	523	551	513	239	442	861	964	423
ABHD11-AS1	16	12	9	11	10	2	7	7	15	19	4	12	10	26	20	11
ABHD12	1628	1339	956	1544	1734	1342	3031	2110	1658	1814	1591	967	1424	2566	2783	1255
ABHD12B	21	15	8	11	15	13	36	18	5	8	9	4	6	14	12	3
ABHD13	653	520	377	582	540	456	936	634	107	102	105	101	150	119	159	95
ABHD14A	285	230	151	256	201	150	357	270	240	285	253	147	124	300	350	155
ABHD14A-ACY1	2070	1841	1176	1966	2117	1763	3657	2742	2297	2619	2163	1352	1554	3153	3460	1528
ABHD14B	1228	1124	675	1131	1017	837	1561	1260	1549	1649	1370	851	881	1817	2135	870
ABHD15	410	332	216	349	356	293	515	367	251	298	249	148	215	374	353	169
ABHD16A	981	929	585	941	1017	856	1722	1235	844	984	898	512	677	1334	1515	630
ABHD16B	298	235	146	207	230	145	452	248	188	219	189	121	85	192	243	102
ABHD17A	935	768	450	716	780	591	1605	1058	834	893	707	378	428	947	1191	490
ABHD17B	634	515	328	541	488	395	819	623	55	65	61	53	64	66	84	41
ABHD17C	1716	1369	902	1521	1304	1038	2203	1637	149	148	124	77	171	273	283	140
ABHD2	3878	3188	2266	3488	3561	2852	5715	4125	1425	1660	1670	1070	1617	2580	2741	1275
ABHD3	581	518	396	608	566	490	988	691	574	765	681	494	597	903	984	472
ABHD4	348	298	219	351	320	248	526	384	336	431	398	307	236	442	511	249
ABHD5	1342	1086	700	1209	883	757	1451	1065	684	821	769	532	460	710	835	378
ABHD6	205	206	126	202	245	185	395	274	63	59	59	32	63	126	130	49
ABHD8	215	214	103	159	183	157	327	205	167	195	170	100	80	180	226	91
ABI1	2095	1633	1132	1792	965	852	1661	1306	1131	1305	1244	945	496	719	859	409
ABI2	1738	1533	1082	1744	1108	942	1847	1333	725	834	747	506	466	764	859	367
ABI3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABI3BP	6	11	6	8	5	4	7	5	8	4	3	6	6	7	10	2
ABL1	4389	3724	2616	4033	3780	3062	6226	4394	947	1093	1003	611	875	1592	1630	763
ABL2	3146	2665	1897	2889	2213	1856	3872	2481	503	590	599	487	411	642	683	370
ABLIM1	7365	6141	4481	7254	5037	4129	8604	6295	4479	5651	4943	3087	3118	5375	5467	2585
ABLIM2	21	19	5	17	6	6	11	5	6	5	2	5	3	3	5	5
ABLIM3	6226	5300	4156	6417	2700	2149	4381	3171	2423	2907	3043	1528	1091	1995	1856	937
ABO	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ABR	3022	2612	1704	2581	1473	1245	2477	1767	1156	1464	1301	720	409	745	909	375
ABRA	2	2	0	2	0	0	2	1	2	0	4	1	0	0	1	0
ABRACL	2160	1849	1200	2045	1845	1586	3022	2328	2036	2389	2023	1456	1885	2740	2776	1323
ABT1	1834	1650	1107	1675	1651	1293	2858	2113	485	487	472	267	319	573	643	304
ABTB1	204	195	104	155	91	75	140	100	128	175	147	84	53	86	107	43
ABTB2	291	227	166	218	174	102	255	180	129	147	146	105	57	149	167	74
ACAA1	2178	1796	1112	1927	1606	1259	2864	1981	2163	2384	2040	1163	1133	2327	2573	1174
ACAA2	4320	3584	2419	4022	4410	3487	7292	5444	4576	5243	4494	2594	3592	7329	7731	3376
ACACA	10894	9285	6404	10394	10463	8810	18259	13066	3872	4876	4365	2556	3917	7396	8034	3759
ACACB	408	381	325	464	255	203	324	278	225	267	224	139	83	174	169	72
ACAD10	729	615	397	615	1041	851	1658	1231	451	565	490	343	692	1287	1344	571
ACAD11	857	693	509	759	668	541	1067	756	479	471	521	350	291	599	609	307
ACAD8	969	772	549	943	1010	790	1594	1066	1037	1221	1041	607	785	1541	1599	733
ACAD9	2204	1984	1336	2246	1701	1370	3101	2198	1617	2014	1706	1003	946	1993	2054	987
ACADL	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACADM	3000	2468	1777	2829	2430	2036	3892	2882	3055	3698	3319	2509	3037	4161	4280	2163
ACADS	179	181	103	200	240	158	365	307	233	237	221	134	153	356	453	185
ACADSB	1044	926	596	909	1139	921	1885	1295	1167	1401	1233	847	1333	1941	1999	1002
