siHNRNPa1_t0_Scr_rep_1	siHNRNPa1_t0_Scr_rep_2	siHNRNPa1_t0_Tyr_rep_1	siHNRNPa1_t0_Tyr_rep_2	siHNRNPa1_t8_Scr_rep_1	siHNRNPa1_t8_Scr_rep_2	siHNRNPa1_t8_Tyr_rep_1	siHNRNPa1_t8_Tyr_rep_2
ABO	0	0	0	0	0	0	0	0
ABR	1473	1245	2477	1767	409	745	909	375
ABRA	0	0	2	1	0	0	1	0
ABRACL	1845	1586	3022	2328	1885	2740	2776	1323
ABT1	1651	1293	2858	2113	319	573	643	304
ABTB1	91	75	140	100	53	86	107	43
ABTB2	174	102	255	180	57	149	167	74
ACAA1	1606	1259	2864	1981	1133	2327	2573	1174
ACAA2	4410	3487	7292	5444	3592	7329	7731	3376
ACACA	10463	8810	18259	13066	3917	7396	8034	3759
ACACB	255	203	324	278	83	174	169	72
ACAD10	1041	851	1658	1231	692	1287	1344	571
ACAD11	668	541	1067	756	291	599	609	307
ACAD8	1010	790	1594	1066	785	1541	1599	733
ACAD9	1701	1370	3101	2198	946	1993	2054	987
ACADL	0	0	0	0	0	0	0	0
ACADM	2430	2036	3892	2882	3037	4161	4280	2163
ACADS	240	158	365	307	153	356	453	185
ACADSB	1139	921	1885	1295	1333	1941	1999	1002
ACADVL	10272	7664	18112	12182	9141	17837	20185	8908
ACAN	0	0	0	0	0	0	0	0
ACAP1	12	3	16	10	3	13	16	7
ACAP2	1277	1082	2000	1507	1060	1232	1367	712
ACAP3	1229	1005	2087	1397	846	1673	1958	862
ACAT1	6060	5225	9988	7446	5685	10364	10824	4923
ACAT2	3603	3238	6315	4770	2528	3887	4051	1983
ACBD3	2848	2436	4941	3570	892	1152	1253	586
ACBD4	161	160	281	229	92	198	215	97
ACBD5	1552	1207	2408	1687	909	1405	1430	719
ACBD6	2715	2391	4695	3471	1022	2023	2079	1033
ACBD7	52	41	77	66	35	50	47	29
ACCS	98	78	142	103	61	118	158	55
ACCSL	0	0	0	0	0	0	0	0
ACD	1335	996	2198	1665	473	966	1090	452
ACE	13	3	9	9	5	14	13	2
ACE2	3	2	2	0	0	2	0	2
ACER1	0	0	0	0	1	1	0	0
ACER2	218	195	378	284	417	694	795	418
ACER3	1263	1097	2185	1582	1136	1520	1640	781
ACHE	1	0	1	0	0	1	4	1
ACIN1	6720	5601	11199	8462	2187	4316	4688	2120
ACKR1	12	11	19	10	8	7	7	4
ACKR2	10	5	9	10	6	17	13	11
ACKR3	3	2	3	3	2	0	0	3
ACKR4	1	1	2	3	1	0	2	1
ACLY	18214	15108	32154	23228	7500	14672	15740	7347
ACMSD	26	12	31	15	6	18	18	3
ACO1	2026	1697	3303	2515	1148	2051	2257	1069
ACO2	6926	5535	11532	8589	4722	9004	10175	4594
ACOT1	47	44	105	55	59	103	105	42
ACOT11	776	687	1388	1072	222	511	512	243
ACOT12	0	0	0	0	0	1	5	2
ACOT13	1526	1360	2552	1922	1320	2185	2184	1134
ACOT2	285	200	511	270	151	321	356	138
