siHNRNPa1_t0_Scr_rep_1	siHNRNPa1_t0_Scr_rep_2	siHNRNPa1_t0_Tyr_rep_1	siHNRNPa1_t0_Tyr_rep_2	siHNRNPa1_t8_Scr_rep_1	siHNRNPa1_t8_Scr_rep_2	siHNRNPa1_t8_Tyr_rep_1	siHNRNPa1_t8_Tyr_rep_2
FAM83E	48	24	74	45	16	56	43	18
FAM83F	533	429	970	579	162	302	329	125
FAM83G	982	777	1684	1211	89	207	193	95
FAM83H	9781	7200	18585	12040	2368	4544	5531	2297
FAM83H-AS1	314	215	506	368	123	254	250	123
FAM84A	110	101	223	142	29	39	65	32
FAM84B	2640	1911	4761	3367	714	1079	1160	583
FAM86B1	32	14	46	30	14	30	20	11
FAM86B2	1	2	9	4	3	4	7	1
FAM86B3P	209	142	320	229	29	53	75	29
FAM86C1	241	189	457	252	81	184	160	80
FAM86C2P	108	92	185	117	34	49	39	14
FAM86DP	383	301	540	385	130	235	296	131
FAM86EP	123	96	191	120	15	49	60	26
FAM86FP	4	1	8	7	8	12	13	5
FAM86HP	25	14	21	26	39	57	45	23
FAM86JP	60	46	102	79	36	79	78	32
FAM87A	0	0	1	0	1	1	1	2
FAM87B	2	5	4	9	4	13	8	7
FAM89A	882	655	1512	1071	521	902	929	452
FAM89B	791	557	1264	983	524	948	1089	448
FAM8A1	563	523	986	813	549	608	594	342
FAM90A1	0	0	1	1	0	0	4	1
FAM90A10P	0	0	0	0	0	0	0	0
FAM90A25P	1	0	1	0	3	1	3	0
FAM90A27P	0	0	0	0	0	1	0	0
FAM90A2P	0	0	0	1	1	0	0	0
FAM90A7P	0	0	0	0	0	0	0	0
FAM91A1	3770	3130	6399	4637	3625	4353	4763	2461
FAM92A1	680	554	1102	821	513	511	546	257
FAM92A1P2	0	0	0	0	0	0	0	0
FAM92B	0	0	0	0	0	0	0	0
FAM95A	0	0	0	0	0	0	0	0
FAM95B1	2	4	2	2	0	3	3	0
FAM95C	520	395	789	619	376	705	906	437
FAM96A	2735	2293	4498	3351	2253	3467	3563	1789
FAM96B	2485	2038	4160	3388	2511	4602	5439	1965
FAM98A	3397	2539	5770	4368	1622	2442	2581	1233
FAM98B	1582	1293	2500	1997	1044	1305	1488	675
FAM98C	297	238	582	374	149	268	342	130
FAM99A	0	0	0	0	0	0	0	0
FAM99B	0	1	0	0	0	0	1	0
FAM9A	0	0	0	0	0	0	0	0
FAM9B	0	0	1	0	0	0	1	0
FAM9C	0	0	0	0	0	0	0	0
FAN1	1856	1468	3099	2182	820	1434	1469	813
FANCA	3305	2545	5397	4042	2213	4125	4857	2302
FANCB	322	235	497	361	169	209	297	129
FANCC	1061	874	1809	1298	416	744	831	388
FANCD2	2567	2010	4091	3029	1476	2764	3080	1465
FANCD2OS	107	85	178	108	77	105	127	60
FANCE	845	665	1420	1035	192	366	417	207
FANCF	682	524	1028	775	123	175	191	97
FANCG	1713	1281	2896	2102	688	1372	1535	702
FANCI	5978	4848	10330	7256	3368	5957	6213	3218
FANCL	1006	943	1716	1380	670	1017	1077	543
FANCM	679	563	1052	822	112	174	190	117
FANK1	21	15	25	28	12	14	15	9
FANK1-AS1	0	0	0	0	0	0	0	0
FAP	818	631	1317	1031	555	804	909	469
FAR1	4607	3878	7320	5582	3999	4440	4855	2467
FAR2	236	206	421	304	122	216	227	103
FAR2P1	7	3	10	8	3	13	8	8
FAR2P2	0	0	0	0	0	0	0	0
FARP1	1604	1250	2592	1849	831	1534	1655	777
FARP2	731	515	1182	799	309	622	651	305
FARS2	784	671	1368	971	361	736	727	320
FARSA	4817	3602	7954	6160	1671	3175	3594	1552
FARSB	4157	3393	7096	5260	2249	4115	4339	2042
FAS	2194	1985	3552	2624	887	1168	1343	650
FAS-AS1	15	31	36	20	3	7	7	2
FASLG	0	0	0	1	0	0	1	1
FASN	34932	29254	61173	45903	12869	26011	30388	12702
FASTK	2534	1876	4102	3022	1685	3518	3931	1704
FASTKD1	2425	2164	4029	2985	1674	2278	2441	1188
FASTKD2	3099	2767	5471	3979	1342	2153	2318	1188
FASTKD3	602	520	1039	803	243	354	377	242
FASTKD5	2379	1972	4121	2946	882	1716	1845	809
FAT1	10908	8476	18297	12190	4927	8788	9505	4735
FAT2	15384	12716	23778	16447	2776	5010	5473	2715
FAT3	1	0	1	1	0	1	0	0
FAT4	203	155	336	231	55	83	93	53
FATE1	0	0	1	0	0	0	0	0
FAU	11980	9733	20340	15183	9853	19302	22378	9475
FAXC	371	324	611	427	79	116	140	77
FAXDC2	51	55	106	90	23	51	47	24
FBF1	563	478	912	753	465	861	1082	469
FBL	9518	7596	16302	12307	6108	11331	12250	5370
FBLIM1	1632	1215	2828	1933	609	1095	1210	495
FBLL1	0	1	1	1	8	14	20	13
FBLN1	7709	5956	12429	9476	5448	10028	11353	5013
FBLN2	4	0	3	0	0	1	2	0
FBLN5	37	29	63	49	19	38	48	22
FBLN7	1	0	0	1	3	3	2	0
FBN1	539	448	951	617	255	415	472	213
FBN2	10051	7904	17085	12405	5286	9375	9700	4795
FBN3	0	0	0	0	0	0	0	2
FBP1	1	2	2	0	0	3	0	5
FBP2	0	0	0	0	0	0	1	0
FBRS	1276	936	2095	1484	370	702	749	306
FBRSL1	991	700	1983	1206	381	723	864	328
FBXL12	398	307	650	504	131	277	321	117
FBXL13	17	12	19	24	11	11	19	8
FBXL14	411	271	696	448	40	73	75	40
FBXL15	438	336	863	550	107	240	315	143
FBXL16	1072	816	1640	1195	239	477	517	205
FBXL17	364	333	634	449	324	466	392	186
FBXL18	1656	1141	2835	2088	1007	1908	1994	953
FBXL19	1007	749	1694	1201	316	558	623	336
FBXL19-AS1	496	395	702	525	320	527	587	311
FBXL2	264	221	435	279	70	122	128	77
FBXL20	272	223	441	333	110	195	240	107
FBXL21	0	0	0	0	0	0	0	0
FBXL22	17	10	29	15	6	14	11	12
FBXL3	1122	935	1859	1364	266	342	351	174
FBXL4	691	551	1194	811	198	350	354	160
FBXL5	1887	1628	3016	2093	555	725	832	434
FBXL6	1409	1048	2557	1777	886	1677	2043	874
FBXL7	0	0	0	0	0	0	0	0
FBXL8	147	107	245	132	63	159	209	80
FBXO10	279	217	402	314	123	229	286	133
FBXO11	1554	1352	2474	1816	521	818	890	421
FBXO15	2	4	16	5	9	5	12	4
FBXO16	145	125	230	186	33	93	100	48
FBXO17	526	432	831	617	301	520	588	284
FBXO18	3757	2906	6163	4169	1908	3668	3730	1834
FBXO2	518	456	1011	646	397	798	871	391
FBXO21	1944	1622	3341	2436	1037	1807	1799	911
FBXO22	2120	1782	3442	2616	1850	2680	3117	1514
FBXO22-AS1	686	587	1097	840	554	927	985	516
FBXO24	17	21	33	29	7	18	20	5
FBXO25	596	501	988	722	435	733	762	376
FBXO27	14	13	22	19	5	10	2	2
FBXO28	2329	1973	3884	2885	1385	1645	1675	875
FBXO3	864	749	1406	1009	634	1045	1047	501
FBXO3-AS1	0	0	0	0	0	0	0	0
FBXO30	1026	874	1699	1192	417	523	552	312
FBXO31	1163	933	2010	1357	373	744	834	416
FBXO32	406	383	516	328	19	58	49	17
FBXO33	376	337	690	540	110	157	183	97
FBXO34	1273	1015	2201	1474	148	284	273	159
FBXO36	95	76	187	130	57	84	92	34
FBXO38	1728	1608	2975	2238	393	652	689	362
FBXO39	3	3	7	4	1	2	1	0
FBXO4	631	538	1111	810	344	680	703	308
FBXO40	0	0	0	0	3	1	9	0
FBXO41	538	440	955	743	85	176	161	84
FBXO42	860	770	1450	1023	215	415	407	194
FBXO43	57	41	86	60	7	23	29	17
FBXO44	992	756	1604	1164	587	1059	1332	597
FBXO45	1829	1575	3070	2273	835	1047	1095	577
FBXO46	517	418	899	674	105	188	220	116
FBXO47	1	0	0	0	2	2	1	0
FBXO48	79	79	135	83	65	99	102	63
FBXO5	1239	1106	2216	1577	175	227	189	128
FBXO6	355	341	589	388	202	387	411	164
FBXO7	2704	2255	4761	3309	893	1909	1984	936
FBXO8	590	477	940	652	227	344	352	179
FBXO9	2222	1824	3672	2609	1233	2239	2357	1089
FBXW10	5	1	3	2	15	11	20	9
FBXW11	2833	2405	4830	3518	737	1224	1219	632
FBXW12	0	0	2	1	1	0	4	1
FBXW2	3877	3174	6374	4630	1593	2710	2822	1303
FBXW4	979	810	1703	1256	640	1256	1376	614
FBXW4P1	25	17	59	35	6	15	17	6
FBXW5	2378	1890	4396	3197	1272	2606	3121	1334
FBXW7	873	857	1491	1002	568	901	1028	486
FBXW8	585	485	1065	744	572	925	1064	512
FBXW9	750	618	1281	1029	455	974	1130	485
FCAMR	0	0	1	0	2	7	13	1
FCAR	1	1	1	0	0	0	2	0
FCER1A	0	0	1	0	0	1	0	0
FCER1G	4	3	8	6	11	37	30	11
FCER2	0	0	0	0	0	0	0	0
FCF1	2219	1770	3584	2584	1354	2257	2157	1072
FCGBP	0	0	0	5	2	5	7	1
FCGR1A	0	1	1	0	0	2	2	3
FCGR1B	0	0	0	0	0	1	1	1
FCGR1C	0	0	0	0	1	4	5	1
FCGR2A	1	2	0	2	0	2	4	0
FCGR2B	1	0	0	0	0	0	0	0
FCGR2C	0	0	0	0	0	0	0	0
FCGR3A	0	0	1	0	0	0	0	0
FCGR3B	0	0	0	1	0	0	0	0
FCGRT	1	0	2	0	3	1	0	1
FCHO1	40	27	75	56	10	22	19	11
FCHO2	789	689	1299	955	756	826	945	479
FCHSD1	754	571	1167	856	464	894	992	439
FCHSD2	673	507	1056	740	224	441	533	236
FCMR	63	42	81	69	46	92	87	34
FCN1	0	0	0	0	0	0	0	0
FCN2	0	0	0	0	0	0	0	0
FCN3	1	2	2	4	2	1	2	0
FCRL1	0	0	0	0	0	0	0	0
FCRL2	0	0	0	0	0	1	0	0
FCRL3	0	0	0	0	0	0	0	0
FCRL4	0	0	0	0	0	0	0	0
FCRL5	0	0	0	0	0	0	0	0
FCRL6	0	0	0	0	0	3	1	0
FCRLA	5	4	7	7	4	4	2	3
FCRLB	55	35	83	57	25	43	49	18
FDCSP	1	1	0	0	0	2	0	0
FDFT1	13170	11219	23700	17236	5328	10023	10985	4888
FDPS	18945	15991	33342	23734	12385	23762	27108	12182
FDPSP2	9	3	19	8	3	6	7	5
FDX1	981	815	1968	1242	854	1118	1183	557
FDX1L	505	407	825	612	286	530	582	239
FDXACB1	357	278	620	433	36	86	76	37
FDXR	1388	1105	2305	1876	2489	5018	6234	2652
FECH	2913	2282	4681	3494	2712	4542	4996	2258
FEM1A	2598	2007	4348	3117	377	738	764	340
FEM1B	2955	2394	4723	3385	1114	1345	1490	733
FEM1C	723	617	1203	894	240	259	375	167
FEN1	4275	3319	7324	5456	1860	3546	3803	1739
FENDRR	0	0	0	0	0	0	0	0
FER	1334	1160	2195	1579	913	1318	1443	745
FER1L4	45	26	81	52	79	132	200	92
FER1L5	2	1	3	0	3	13	15	1
FER1L6	1	2	3	3	2	3	4	2
FER1L6-AS1	0	0	0	0	0	0	0	0
FER1L6-AS2	0	0	0	0	0	0	0	1
FERD3L	0	0	0	0	0	0	0	0
FERMT1	3435	2781	5652	4194	1440	2470	2629	1266
FERMT2	442	392	813	539	122	191	192	91
FERMT3	26	17	35	24	21	30	44	21
FES	7	3	6	8	14	39	32	15
FETUB	16	8	7	6	8	18	17	6
FEV	0	0	0	0	0	0	0	0
FEZ1	36	26	44	28	13	38	26	24
FEZ2	1208	1018	1997	1609	732	1081	1156	553
FEZF1	0	0	0	0	1	3	3	0
FEZF1-AS1	0	0	0	0	0	0	3	1
FEZF2	0	0	0	0	0	0	0	0
FFAR1	0	0	1	0	0	0	0	0
FFAR2	1	0	2	1	0	1	2	1
FFAR3	0	0	0	0	0	0	0	0
FFAR4	4	1	2	2	0	5	3	0
FGA	0	0	0	0	0	0	0	0
FGB	0	1	1	1	0	1	2	0
FGD1	968	846	1657	1159	457	823	852	401
FGD2	3	0	4	2	2	5	6	0
FGD3	5	1	2	3	0	1	0	1
FGD4	750	712	1242	924	210	219	263	132
FGD5	0	0	1	0	2	3	2	2
FGD5-AS1	4145	3379	6933	4903	2863	4124	4428	2247
FGD5P1	1	0	0	0	0	0	1	0
FGD6	1171	1075	1924	1317	327	448	512	268
FGF1	6	10	15	6	1	7	8	4
FGF10	0	0	0	0	0	0	0	0
FGF10-AS1	0	0	0	0	0	0	0	0
FGF11	31	12	38	26	20	44	57	21
FGF12	5	2	4	2	2	2	1	1
FGF12-AS1	0	0	0	0	0	0	0	0
FGF13	19	13	33	19	14	8	13	7
FGF13-AS1	0	0	0	0	0	0	0	0
FGF14	0	0	2	0	0	0	0	0
FGF14-AS1	0	0	0	0	2	0	0	1
FGF14-AS2	32	36	38	31	12	9	9	5
FGF14-IT1	0	0	0	1	0	3	0	0
FGF16	0	0	0	0	0	0	0	0
FGF17	0	0	0	0	1	1	1	0
FGF18	4	1	6	3	1	7	12	5
FGF19	0	0	0	0	0	0	0	0
FGF2	779	615	1135	773	424	496	518	272
FGF20	0	0	0	0	0	0	0	0
FGF21	0	0	0	0	0	0	0	0
FGF22	2	1	2	2	0	2	1	1
FGF23	0	0	0	0	1	8	3	0
FGF3	0	0	0	0	0	0	0	0
FGF4	0	0	0	0	0	0	0	0
FGF5	13	3	14	14	5	3	4	0
FGF6	0	0	0	0	1	0	0	0
FGF7	0	2	4	3	7	12	7	5
FGF8	0	1	0	0	1	2	3	1
FGF9	0	0	1	0	0	0	0	0
FGFBP1	6235	4545	12179	8789	5890	10268	9330	4443
FGFBP2	0	0	0	0	1	0	0	1
FGFBP3	59	41	83	69	27	51	62	26
FGFR1	233	175	383	282	129	231	241	101
FGFR1OP	1338	1139	1945	1407	971	1378	1395	723
FGFR1OP2	946	887	1601	1194	943	1227	1264	659
FGFR2	276	201	444	337	84	144	142	90
FGFR3	379	358	662	468	285	493	545	228
FGFR4	77	67	125	89	61	107	118	55
FGFRL1	1173	770	1917	1483	519	930	1058	445
FGG	2	2	4	3	4	5	10	3
FGGY	91	71	160	111	52	85	135	45
FGL1	3	7	25	4	3	6	10	4
FGL2	1	0	1	2	2	1	0	1
FGR	15	12	29	9	11	18	25	7
FH	13847	12101	23614	17430	10126	19834	20482	9855
FHAD1	5	5	8	11	6	5	8	4
FHDC1	648	496	1160	820	221	382	422	201
FHIT	123	106	213	162	76	153	175	63
FHL1	514	464	905	650	280	560	554	249
FHL2	1870	1541	3111	2310	492	791	844	378
FHL3	416	335	682	587	83	136	176	68
FHL5	0	0	0	0	0	0	1	0
FHOD1	2656	1969	4452	3252	771	1475	1661	751
FHOD3	1977	1658	3340	2298	252	574	579	302
FIBCD1	0	3	7	5	2	7	7	2
FIBIN	24	30	28	28	1	0	2	3
FIBP	1086	838	1748	1441	668	1268	1480	621
FICD	64	61	111	62	17	33	38	19
FIG4	397	296	591	422	156	308	360	161
FIGF	5	8	13	12	29	57	54	23
FIGLA	0	0	0	0	0	0	0	0
FIGN	285	248	420	308	78	97	130	53
FIGNL1	1030	807	1667	1189	386	515	594	291
FIGNL2	1	0	0	0	2	0	0	0
FILIP1	2	2	3	2	3	3	5	1
FILIP1L	10	2	9	9	3	6	13	6
FIP1L1	1856	1419	3171	2226	354	703	732	399
FIRRE	0	1	1	0	0	0	5	1
FIS1	2311	1768	3990	2919	1729	3184	3662	1544
FITM1	6	0	4	6	6	16	21	6
FITM2	264	167	352	255	114	255	293	121
FIZ1	243	195	485	317	15	44	56	19
FJX1	1686	1113	3626	1931	79	140	157	87
FKBP10	2209	1779	3750	2828	1443	2783	3126	1408
FKBP11	141	97	214	125	91	193	227	103
FKBP14	1482	1200	2421	1816	1074	1490	1635	853
FKBP15	2323	1955	3808	2852	817	1562	1696	813
FKBP1A	10632	8379	18132	13541	9988	16084	17791	7892
FKBP1A-SDCBP2	1181	822	2940	1348	983	2078	2443	1041
FKBP1AP1	105	86	157	147	94	150	140	71
FKBP1B	64	67	136	106	83	138	183	73
FKBP2	859	703	1346	1045	595	1181	1258	520
FKBP3	3057	2628	4764	3610	3065	4879	4672	2309
FKBP4	16638	12674	29090	21209	8007	15724	17075	7717
FKBP5	24875	21631	39579	29160	11898	19447	18813	8971
FKBP6	1	1	0	0	0	0	0	0
FKBP7	276	241	492	336	248	399	414	199
FKBP8	4345	3443	7158	5433	2845	5944	6782	2858
FKBP9	2423	1884	4159	2843	1594	2985	3207	1431
FKBP9P1	3	3	12	5	4	3	8	1
FKBPL	380	292	539	412	41	84	85	46
FKRP	509	376	890	570	294	513	646	278
FKSG29	6	3	3	2	1	0	1	0
FKTN	2006	1672	3103	2323	1057	1475	1640	795
FLAD1	3346	2596	5557	4156	1301	2638	2845	1253
FLCN	670	565	1100	793	191	329	346	172
FLG	54	60	105	77	75	138	223	99
FLG-AS1	16	22	17	8	38	42	68	27
FLG2	2	1	2	4	2	5	10	3
FLI1	265	201	520	386	65	122	127	89
FLII	8278	6300	14105	10297	4766	9234	10051	4585
FLJ10038	241	168	406	241	79	104	119	55
FLJ12825	6	6	9	8	7	18	15	6
FLJ13224	5	9	13	9	4	10	16	4
FLJ16171	0	0	0	0	0	0	0	0
FLJ16779	8	4	10	10	11	28	31	10
FLJ20021	67	44	93	59	15	20	28	15
FLJ21408	10	6	15	8	4	1	5	5
FLJ22447	28	31	43	28	19	19	24	22
FLJ22763	0	0	0	0	0	0	0	0
FLJ23867	374	284	577	440	186	352	411	200
FLJ25758	0	0	0	0	0	1	0	0
FLJ26245	0	0	0	0	0	0	0	0
FLJ26850	0	0	2	0	0	0	2	0
FLJ27354	3	0	4	3	0	0	1	4
FLJ30679	2	1	4	3	8	4	13	9
FLJ31104	8	4	14	5	13	16	16	9
FLJ31356	1	4	2	0	2	4	3	0
FLJ31662	0	0	0	0	0	0	0	0
FLJ32255	3	2	5	8	3	1	3	1
FLJ33360	0	0	0	0	1	0	1	0
FLJ33534	0	0	0	0	0	0	0	0
FLJ33581	0	0	0	0	0	1	0	0
FLJ34503	0	0	2	0	0	1	3	0
FLJ35934	0	3	1	4	0	11	5	4
FLJ36000	0	0	0	0	0	0	0	0
FLJ36777	1	4	2	0	1	2	1	2
FLJ37035	32	30	62	50	14	15	23	19
FLJ37201	99	67	123	105	23	34	41	22
FLJ37453	74	83	149	110	48	89	145	58
FLJ37505	0	0	0	0	0	0	0	0
FLJ38122	0	0	0	0	0	0	0	0
FLJ38576	2	3	7	3	0	2	2	1
FLJ40194	0	0	0	0	0	0	0	0
FLJ40288	0	0	0	0	0	0	1	1
FLJ41200	1	0	0	0	1	0	0	0
FLJ41278	1	0	1	0	0	6	8	1
FLJ41941	1	3	0	2	0	0	1	1
FLJ42102	0	0	0	0	0	0	0	0
FLJ42351	4	1	7	7	6	11	17	8
FLJ42393	2	1	1	0	0	1	1	0
FLJ42627	73	52	100	76	29	61	62	25
FLJ42969	0	0	0	1	0	2	1	1
FLJ43315	0	0	0	0	0	0	0	0
FLJ43879	0	0	0	2	0	2	4	2
FLJ44635	19	29	52	28	24	36	39	17
FLJ45079	0	0	0	1	0	0	0	0
FLJ45513	2	4	5	2	5	9	18	4
FLJ46066	0	0	0	0	0	0	0	0
FLJ46284	0	1	0	0	0	0	0	0
FLJ46906	41	44	63	53	25	61	69	28
FLNA	32466	23812	56911	40432	21137	38824	45313	20334
FLNB	26731	19667	47688	32811	13198	24219	24776	12049
FLNC	13	12	18	19	8	20	22	12
FLOT1	860	766	1485	1170	497	1024	991	457
FLOT2	4762	4027	8215	6236	2167	4056	4569	2065
FLRT1	69	59	106	96	130	219	265	124
FLRT2	981	762	1438	1058	426	659	748	356
FLRT3	285	291	463	336	48	100	78	40
FLT1	0	1	0	0	0	3	2	2
FLT3	0	0	0	0	0	0	0	0
FLT3LG	43	16	48	35	3	15	12	5
FLT4	0	0	0	0	1	2	3	2
FLVCR1	848	636	1223	1068	1362	1773	2156	960
FLVCR1-AS1	423	346	761	578	225	456	571	233
FLVCR2	88	52	164	90	16	41	43	29
FLYWCH1	1664	1323	2759	1917	742	1566	1909	804
FLYWCH2	773	588	1231	905	283	654	649	298
FMN1	90	68	138	74	30	36	38	16
FMN2	3	5	8	4	7	3	3	1
FMNL1	759	486	1223	863	293	603	610	247
FMNL2	2600	2148	4257	2862	1236	1953	2047	1142
FMNL3	466	371	712	548	214	443	455	227
FMO1	0	0	0	0	0	0	0	0
FMO2	0	0	1	2	0	0	1	0
FMO3	0	0	0	0	0	0	0	0
FMO4	42	45	100	68	42	68	71	28
FMO5	38	42	48	52	29	43	63	31
FMO6P	0	0	0	0	0	1	0	0
FMO9P	0	0	0	0	0	0	0	0
FMOD	1	0	0	0	0	3	0	0
FMR1	1646	1417	2676	1982	1061	1313	1319	665
FMR1-AS1	2	0	6	2	4	10	7	3
FMR1NB	1	0	0	0	1	1	0	0
FN1	10017	8181	16579	11247	6534	11093	12586	5977
FN3K	34	14	43	32	19	61	76	20
FN3KRP	1405	1107	2322	1820	729	1326	1451	694
FNBP1	599	499	1015	731	316	608	663	339
FNBP1L	854	781	1548	1122	268	435	491	265
FNBP4	3141	2457	4915	3525	459	656	692	334
FNDC1	0	0	0	0	0	1	0	0
FNDC3A	2449	2085	4034	2861	970	1395	1469	746
FNDC3B	2510	2150	4036	2816	587	808	967	480
FNDC4	39	35	81	65	32	39	55	28
FNDC5	11	2	6	7	7	11	10	3
FNDC7	1	1	3	1	10	13	16	7
FNDC8	40	31	75	51	34	58	48	22
FNDC9	1	0	2	1	0	1	4	2
FNIP1	1353	1231	2062	1579	645	849	1021	468
FNIP2	751	583	1119	879	203	376	404	209
FNTA	2323	1944	3832	2680	1041	1821	1776	840
FNTB	809	740	1383	1048	529	959	1138	532
FOCAD	1287	1110	2129	1618	606	1098	1215	504
FOCAD-AS1	7	8	7	11	5	7	7	2
FOLH1	0	0	0	0	0	0	0	0
FOLH1B	0	0	0	0	0	0	0	0
FOLR1	14	7	20	8	6	15	22	9
FOLR2	0	0	0	0	0	1	0	0
FOLR3	2	1	5	4	2	2	5	0
FOPNL	2278	1998	3613	2723	1149	1571	1570	834
FOS	492	441	821	586	58	81	95	42
FOSB	14	17	13	14	20	34	46	17
FOSL1	2134	1438	3941	2706	318	541	583	232
FOSL2	2676	2240	4329	2912	125	197	236	128
FOXA1	415	320	842	570	42	57	68	31
FOXA2	2	1	7	2	1	0	1	0
FOXA3	0	0	0	0	0	0	1	0
FOXB1	0	1	1	1	0	0	0	0
FOXB2	0	0	0	0	0	0	0	0
FOXC1	372	287	684	482	65	109	107	54
FOXC2	197	150	286	204	22	53	53	19
FOXC2-AS1	71	54	87	73	17	37	35	17
FOXCUT	11	12	11	15	3	10	25	8
FOXD1	209	187	441	262	38	72	75	37
FOXD2	95	81	123	103	37	54	77	27
FOXD2-AS1	180	150	276	207	221	407	536	251
FOXD3	0	0	0	0	2	3	1	3
FOXD3-AS1	0	0	0	0	2	6	6	3
FOXD4	22	10	28	28	6	15	23	11
FOXD4L1	5	5	7	2	7	7	12	3
FOXD4L3	0	0	0	0	2	1	0	0
FOXD4L4	0	0	0	0	0	0	1	1
FOXD4L5	1	0	0	0	0	2	2	2
FOXD4L6	1	0	0	0	0	2	0	1
FOXE1	0	0	0	0	0	0	1	0
FOXE3	0	0	0	0	2	11	6	8
FOXF1	0	0	1	0	0	0	0	0
FOXF2	369	261	616	441	35	95	78	32
FOXG1	0	0	0	0	0	0	0	0
FOXG1-AS1	8	2	18	11	0	7	2	2
FOXH1	109	69	139	110	100	197	236	88
FOXI1	0	2	6	4	0	0	0	0
FOXI2	0	0	0	0	0	0	1	0
FOXI3	0	1	0	0	0	0	0	0
FOXJ1	0	0	0	0	0	1	0	0
FOXJ2	1060	859	1692	1250	306	520	616	332
FOXJ3	1788	1486	2987	2120	577	859	921	458
FOXK1	2825	2107	4639	3360	431	844	902	440
FOXK2	4364	3483	7477	5145	890	1754	1874	862
FOXL1	99	83	149	93	56	105	82	56
FOXL2	17	7	26	21	4	15	18	4
FOXL2NB	6	2	5	7	12	19	30	12
FOXM1	7176	5603	11513	8514	2664	5024	5501	2499
FOXN1	0	0	0	0	0	0	1	0
FOXN2	1101	879	1749	1281	342	369	328	175
FOXN3	623	498	1038	746	154	231	251	166
FOXN3-AS1	40	23	49	36	17	34	36	21
FOXN3-AS2	0	1	0	0	0	0	0	0
FOXN4	0	0	0	0	1	1	0	0
FOXO1	1431	1252	2254	1614	96	113	165	70
FOXO3	742	624	1150	853	123	187	229	98
FOXO3B	171	145	283	192	37	48	61	42
FOXO4	175	146	310	202	103	200	193	93
FOXO6	2	7	5	9	0	2	3	0
FOXP1	420	322	744	557	35	55	46	39
FOXP1-AS1	2	1	1	2	0	0	0	0
FOXP2	0	0	0	0	0	0	2	0
FOXP3	16	14	19	12	8	11	7	6
FOXP4	1071	790	1774	1440	329	648	721	295
FOXP4-AS1	27	21	40	22	16	39	38	15
FOXQ1	105	64	165	132	5	8	15	10
FOXR1	0	0	0	2	1	0	1	1
FOXR2	0	0	0	0	0	0	0	0
FOXRED1	2514	1998	4224	3165	1606	3336	3682	1625
FOXRED2	1212	1080	2242	1570	573	1018	1090	497
FOXS1	0	0	1	0	0	0	0	1
FPGS	2952	2214	5383	3641	1529	2936	3277	1452
FPGT	624	540	1002	766	426	538	568	305
FPGT-TNNI3K	206	177	347	233	119	271	264	147
FPR1	9	12	19	13	7	13	18	11
FPR2	0	1	0	0	0	1	1	0
FPR3	0	0	0	0	1	1	0	1
FRA10AC1	649	524	1028	820	391	524	560	283
FRAS1	800	695	1405	1004	281	476	463	273
FRAT1	33	43	85	54	7	22	29	7
FRAT2	639	493	1167	790	76	136	157	75
FREM1	0	0	0	0	0	0	1	0
FREM2	25	9	38	16	8	10	13	3
FREM3	0	0	0	0	0	1	0	0
FRG1	613	587	1115	831	258	581	564	252
FRG1BP	151	102	257	179	70	109	138	57
FRG1CP	75	42	121	80	72	102	104	47
FRG1DP	1	0	0	0	0	0	1	0
FRG1HP	256	209	395	289	122	219	264	112
FRG1JP	9	9	14	8	6	8	6	3
FRG2	0	0	0	0	0	0	0	0
FRG2B	0	0	0	0	0	0	0	0
FRG2C	0	0	0	0	0	1	0	0
FRG2DP	0	0	0	0	0	0	0	0
FRG2EP	0	0	0	0	0	0	0	0
FRK	110	104	190	129	33	40	51	34
FRMD1	0	0	1	0	0	1	0	1
FRMD3	6	8	12	7	8	9	18	6
FRMD4A	107	93	141	125	109	198	231	103
FRMD4B	1059	896	1849	1308	179	296	295	165
FRMD5	84	59	142	89	32	68	80	39
FRMD6	1046	939	1737	1317	145	200	190	125
FRMD6-AS1	29	24	60	41	15	8	10	10
FRMD6-AS2	1	0	1	0	1	2	1	1
FRMD7	0	0	0	1	0	2	6	2
FRMD8	1927	1493	3293	2450	1279	2357	2535	1166
FRMD8P1	1	1	3	2	1	1	3	1
FRMPD1	10	16	12	16	2	3	7	0
FRMPD2	28	25	45	47	36	63	94	42
FRMPD2B	6	4	3	10	6	6	10	4
FRMPD3	2	0	1	0	2	1	1	1
FRMPD3-AS1	0	0	0	0	2	0	0	0
FRMPD4	1	0	0	1	0	0	1	0
FRRS1	395	342	644	502	159	287	314	141
FRRS1L	0	0	1	0	0	0	1	0
FRS2	994	868	1566	1212	566	689	768	366
FRS3	78	46	90	68	13	20	22	7
FRY	79	65	151	119	17	46	49	33
FRY-AS1	0	0	1	1	0	0	1	1
FRYL	2537	2076	4329	2998	924	1456	1600	887
FRZB	7	2	4	3	25	36	41	20
FSBP	45	39	101	62	22	24	37	19
FSCB	0	0	0	0	0	0	0	0
FSCN1	12632	9383	23680	15970	5435	11460	13145	5450
FSCN2	5	1	12	1	6	5	6	4
FSCN3	0	1	0	2	7	16	19	2
FSD1	2	5	2	2	1	4	2	4
FSD1L	189	172	304	241	348	282	311	157
FSD2	129	132	195	183	72	78	85	40
FSHB	0	0	0	0	0	0	0	0
FSHR	0	0	0	0	0	0	0	0
