AD_C1	AD_C2	AD_C3	AD_T1	AD_T2	AD_T3
Xkr9	1332.71412420876	1441.87001729201	1347.21065901335	1320.23285419522	1410.51731022885	1314.49767076807
Gm26273	872.288011220032	709.873297372586	726.759265120544	691.65411471842	658.626010570391	745.278054913694
Gm5523	80.3177397911378	95.226905745103	82.1469914032529	68.5129075900322	68.2663456211646	71.2874661221794
Gm36947	3.73570882749478	7.69510349455378	3.86574077191779	4.3500258787322	0	1.08011312306332
Gm25491	42248.9989845522	38971.8516481676	41139.2132947491	31833.4893805623	32801.4983220568	32508.1646648369
Gm37400	1.86785441374739	0	0	0	0	0
Eya1	2.80178162062109	2.88566381045767	0	0	4.80748912825103	0
Gm22616	384.778009231963	393.412166159062	449.392364735443	592.691025977263	504.786358466358	567.059389608245
Gm37444	1617.56192230524	1643.86648402405	1649.70487441591	2519.75249025563	2463.35742931583	2731.60608822715
Gm9947	34.5553066543267	50.9800606514188	28.0266205964039	35.8877134995407	42.305904328609	50.7653167839762
Msc	2739.20849776055	2805.82711170167	2753.37386479844	3234.24424083739	3217.17172462559	3157.1706587141
Gm37412	320.337031957678	290.490156919405	312.158567332361	616.61616831029	528.823804107613	637.266742607361
Smt3h2-ps4	422.13509750691	388.602726474966	416.533568174141	479.590353130226	518.247328025461	508.733280962826
Rpl5-ps1	2932.5314295834	2833.72186186943	2963.09030167498	2910.16731287184	2622.96606837376	2495.06131427628
Trpa1	426.804733541279	385.717062664508	387.540512384758	432.827574933854	385.560628085732	489.291244747686
Gm26345	633.202646260366	524.228925566476	571.163199050853	632.928765355536	558.630236702769	684.791720022148
Gm10566	0	0	0	0	0	0
Kcnb2	657.484753639082	682.940435141648	715.16204280479	877.617721034222	783.620727904918	868.410950942913
Gm38116	3173.48464895682	3351.21757187817	3080.0289600255	3271.21946080662	3296.97604415455	3065.36104325371
Gm37138	0.933927206873696	4.80943968409611	0	2.1750129393661	1.92299565130041	3.24033936918997
Gm25227	6226.49268822693	6367.69814174325	6481.88083931315	4510.9768362453	4675.76392613695	4719.01423466366
Gm25168	1763.25456657754	1648.67592370815	1652.60417999485	1624.73466570648	1635.507801431	1621.24979771805
Gm6060	0	0	2.89930557893834	0	0	0
Gm28669	694.841841914029	559.818779228788	684.236116629448	772.129593474966	689.393940991197	796.04337169767
Terf1	32.6874522405793	20.1996466732037	23.1944446315067	3.26251940904915	10.5764760821523	9.72101810756992
Gm37509	0	0	0	0	0	0
Sbspon	5215.98345038959	5302.88819568437	6085.64241019157	4593.62732794121	4552.69220445372	5064.65043404393
Gm23259	1161.80544535088	1110.9805670262	965.468757786467	918.942966882178	1013.41870823532	954.820000787979
Gm7634	33.621379447453	37.5136295359497	24.1608798244862	47.8502846660543	34.6139217234074	32.4033936918997
4930444P10Rik	484.708220367448	507.876830640549	552.800930384243	579.640948341066	539.400280189765	535.736109039409
Rpl7	169.040824444139	200.072690858398	224.212964771232	177.263554558337	151.916656452732	190.099909659145
Rdh10	324.072740785172	297.22337247714	243.54166863082	364.314667343822	267.296395530757	305.672013826921
Gm38249	348.354848163888	310.689803592609	335.353011963868	328.426953844281	387.483623737033	328.354389411251
Gm28095	857.345175910052	914.755427915081	806.006950944858	855.867591640561	915.345930018996	915.935928357699
Stau2	1297.22489034756	1291.81549914822	1093.03820325975	1371.34565827033	1109.56849080034	1265.89258023022
Gm7568	0	0	0	0	0	0
Ube2w	355.826265818878	368.403079801762	375.943290069005	212.063761588195	218.260006422597	254.906697042945
Gm38342	735.000711809598	813.757194549062	798.275469401023	844.992526943731	817.273151802675	792.80303232848
Tceb1	1217.8410777633	1245.64487818089	1266.03010280307	1374.60817767938	1335.52047982814	1322.05846262951
D030040B21Rik	4.66963603436848	3.84755174727689	1.93287038595889	5.43753234841526	5.76898695390123	6.48067873837995
Gm7654	0	0	0	0	0	0
Tmem70	861.080884737547	922.450531409634	842.731488278077	872.180188685807	1022.07218866617	860.85015908147
Ly96	20625.7823638056	22437.959902182	23112.2976401035	28387.1813781367	28054.5835568217	27694.1004753436
Gm29649	1144.99475562715	1036.91519589112	1097.87037922465	1259.33249189297	1166.2968625137	1260.4920146149
Gm5828	0	0	0	0	0	0
Gm28376	852.675539875684	858.965927579566	1013.79051743544	791.704709929261	664.394997524292	926.737059588332
4921511E07Rik	3952.37993948948	3976.44473081067	4062.89355128559	6011.73576440791	5898.78916036401	5682.47514043615
Jph1	1653.98508337331	1532.28748335302	1701.8923748368	1994.48686539872	1885.49723610005	1993.8888251749
Gm28783	2003.27385874408	2164.24785784325	2159.01622111608	2172.83792642674	1999.91547735243	1936.64282965254
Gdap1	2941.87070165214	2705.79076627247	2805.56136521933	2818.81676941847	2756.61426613914	2876.34124671763
Gm28784	84.9873758255063	87.5318022505492	66.6840283155818	104.400621089573	83.6503108315679	98.2902941987625
Gm28785	0	0	0	0	0	1.08011312306332
Gm5251	0	0	0	0	0	0
Rbm6-ps1	0	0	0	0	0	0
Gm6075	3159.47574085371	3299.27562328993	2715.68289227224	3178.78141088356	3206.59524854344	3361.31203897307
Gm25166	43.8945787230637	37.5136295359497	57.0196763857873	22.8376358633441	40.3829086773086	33.4835068149631
Pi15	1070.28057907726	963.811712692861	1058.24653631249	972.230783896648	1060.53210169218	1056.35063435593
Gm28154	1549.38523620346	1465.9172157125	1361.70718690804	1686.72253447841	1633.5848057797	1924.76158529884
Gm16070	3338.78976457346	3258.87632994353	3345.79863809484	3606.171453469	3276.7845898159	3379.67396206514
Crispld1	6092.00717043712	6252.27158932495	6282.79518955938	6072.63612671016	6295.88776235755	5776.44498214266
Gm28153	1294.42310872694	1184.08405022446	1217.7083431541	1282.17012775632	1195.14179728321	1155.72104167776
Gm7690	265.23532675213	205.844018479314	230.011575929108	365.402173813505	307.679304208066	380.19981931829
Gm18775	1208.50180569456	1261.99697310682	1225.43982469794	1105.99407966766	1128.79844731334	1074.71255744801
Gm17969	53.2338507918006	64.4464917668879	82.1469914032529	53.2878170144695	72.1123369237654	61.5664480146095
RP24-571A14.6	0	0	0	0	0	0
Gm28755	0	0	0	0	0	0
Gm28756	0	3.84755174727689	1.93287038595889	0	0	0
Crisp4	599.581266812913	558.856891291968	580.827550980647	528.528144265963	558.630236702769	547.617353393105
Defb44-ps	1194.49289759146	1248.53054199135	1334.64700150462	1156.01937727308	1156.6818842572	1022.86712754097
Defb18	3885.13718059457	3981.25417049476	4004.90743970683	3925.89835555581	3963.29403733015	4028.8219490262
Defb41	2476.77495262904	2506.67996335089	2610.34145623748	2761.17892652527	2612.38959229161	2613.87375781324
Gm17837	5756.72730316946	6401.36421953193	6641.34264615476	6048.71098437713	6074.743262458	5632.78993677524
Gm29006	5368.21358511	5036.44523718545	5441.03013647428	5166.74323746418	4964.21327383201	5414.60708591645
Gm5252	11336.9423642398	11401.2577151182	12696.059130171	12056.0967229063	12358.1315530821	11843.4403943894
Gm24075	1074.01628790475	1024.41065271247	1050.51505476866	1162.54441609118	1110.52998862599	1176.24319101596
Gm28343	4096.20472934803	3742.70596216359	4009.73961567172	3514.82091001562	3344.08943761141	3697.22722024576
Gm28344	53.2338507918006	42.3230692200458	46.3888892630134	59.8128558325678	47.1133934568601	46.444864291723
Gm15825	7364.01602619909	7181.45533629232	6954.4676486801	6700.12735971728	6304.5412427884	6524.96337642554
Tfap2d	9676.41979041836	9496.71960021618	9293.24081569036	10069.2224027954	9469.79208482887	10346.4036058236
Gm10075	728.463221361483	750.272590718994	691.967598173284	690.566608248737	615.358608416132	793.883145451543
Tfap2b	20320.3881671579	21009.5563160055	20069.9596526042	21542.4156579516	21273.1393925108	20203.5159668995
Gm28340	4738.74664767713	4495.86421669305	4714.27087135374	4390.26361811048	4546.92321749982	4604.52224361895
Gm28341	0	0	3.86574077191779	0	0	0
Gm4849	1434.512189758	1456.2983363443	1609.11459631078	1608.42206866123	1453.78471238311	1697.93782945555
Gm24633	5919.23063716548	6164.7397870744	6349.47921787496	3600.73392112058	3732.5345591741	3692.90676775351
Gm38382	6827.94180945359	6778.42429076506	6807.56949934722	6270.56230419247	6351.65463624526	6802.55244905282
Pkhd1	3049.27233044262	2847.1882929849	3038.47224672738	3731.23469748255	3621.00081139867	3822.52034252111
Gm37315	706.048968396514	690.635538636202	734.490746664379	791.704709929261	818.234649628325	838.16778349714
4930486I03Rik	0	0	0	0	0	0
Gm15795	0	0	0	0	0	0
Gm24162	0	0	0	0	0	0
Mir206	872.288011220032	932.069410777827	866.892368102563	656.853907688563	637.473058406086	655.628665699438
Gm28653	0	0	0	0	0	0
Mir133b	0.933927206873696	9.61887936819222	1.93287038595889	1.08750646968305	2.88449347695062	4.3204524922533
Il17a	9084.30994126044	8503.08936148193	8425.38201239481	9126.35429358017	8359.26209620289	9510.39604857257
Il17f	0	0	0	0	0	0
Mcm3	3.73570882749478	8.656991431373	14.4965278946917	0	1.92299565130041	5.40056561531662
Gm20587	4952.61597805121	4847.91520156888	5132.73730991384	5784.44691224415	5524.76650618608	5675.99446169777
Gm28065	546.347416021112	461.706209673227	480.318290910785	471.977807842444	438.443008496494	457.96796417885
Gm24723	44.8285059299374	54.8276123986957	36.724537333219	34.8002070298576	24.0374456412551	47.5249774147863
6720483E21Rik	854.543394289431	879.165574252769	924.87847968133	997.243432699358	1007.64972128142	1030.42791940241
Paqr8	685.502569845293	627.150934806133	658.142366419003	698.179153536519	641.319049708687	727.996244944681
Gm24171	24482.9017281939	24853.2605115351	27696.099760405	27673.7771340246	27442.1094418825	27529.923280638
Gm28064	2043.43272863965	2043.04997780403	1899.04515420461	1638.87224981236	1847.03732307404	1771.38552182385
Efhc1	2233.95387884188	2027.65977081492	2215.06946230889	1157.10688374277	1159.56637773415	1327.45902824483
Tram2	4.66963603436848	0.961887936819223	0	1.08750646968305	2.88449347695062	1.08011312306332
Gm28287	1.86785441374739	0.961887936819223	3.86574077191779	3.26251940904915	3.84599130260082	0
Gm2693	0	0	0	0	0	0
Tmem14a	1618.49584951211	1720.81751896959	1496.04167873218	1722.61024797795	1641.2767883849	1711.97930005537
Gm38224	2665.42824841753	2582.66911035961	2723.41437381608	2708.97861598048	2746.03779005699	2801.81344122626
Gsta3	3.73570882749478	0.961887936819223	8.69791673681502	2.1750129393661	6.73048477955144	4.3204524922533
Gm28836	11.2071264824843	10.5807673050114	14.4965278946917	2.1750129393661	4.80748912825103	8.64090498450659
Gm7094	4.66963603436848	6.73321555773456	9.66435192979446	2.1750129393661	4.80748912825103	5.40056561531662
Gm4956	785.432780980778	896.479557115515	916.180562944515	886.317772791687	897.077471331642	847.88880160471
Gm21909	3561.0644398094	3976.44473081067	3678.25234447977	3274.48198021567	3366.20388760137	3158.25077183716
Khdc1a	1106.70374014533	1145.60853275169	1101.73611999657	1094.03150850115	1097.06901906688	1041.22905063304
Gm16329	1292.55525431319	1202.35992102403	1154.89005561044	1330.02041242237	1243.21668856572	1337.1800463524
Gm16327	1472.80320523982	1547.67769034213	1658.40279115273	1502.93394110198	1504.74409714257	1515.39871165784
Khdc1c	0	0	0	0	0	0
Gm2709	0	0	0	0	0	0
Gm16533	0	0	0	0	0	0
Khdc1b	46.6963603436848	49.0562847777803	35.7581021402395	40.2377393782729	42.305904328609	45.3647511686596
Gm16328	294.187070165214	233.738768647071	212.615742455478	281.66417564791	258.642915099905	317.553258180617
Kcnq5	401.588698955689	353.012872812655	347.916669472601	423.040016706707	271.142386833358	361.837896226214
Gm36949	520.197454228648	429.002019821373	487.083337261641	498.077963114837	458.634462835148	564.899163362119
Gm7658	2.80178162062109	0	0	0	0	3.24033936918997
Gm38243	5.60356324124217	4.80943968409611	6.76504635085612	2.1750129393661	6.73048477955144	0
Gm26580	1142.19297400653	1182.16027435082	1187.74885217174	1246.28241425678	1180.71932989845	1118.9971954936
Gm5696	1615.69406789149	1609.23851829856	1556.92709588989	1489.88386346578	1473.01466889611	1612.60889273354
Gm28239	29.8856706199583	58.6751641459726	36.724537333219	54.3753234841526	38.4599130260082	55.0857692762295
Rims1	833.99699573821	958.040385071946	893.952553505988	778.654632293065	800.927688766621	757.15929926739
Gm26866	8972.23867643559	8534.83166339696	9322.23387147974	10320.4363972922	9764.97191730349	10298.8786284088
Gm7761	0	0	2.89930557893834	0	0	2.16022624612665
Gm29506	0	0	0	1.08750646968305	0	0
4933415F23Rik	949.803969390548	933.993186651465	939.375007576022	1171.24446784865	1094.18452558993	1395.50615499782
Gm24176	238.151437752792	266.442958498925	231.944446315067	232.726384512173	290.372343346362	253.826583919881
Gm6420	904.041536253737	853.19459995865	874.623849646399	735.154373505743	713.431386632452	744.19794179063
Mir30a	0.933927206873696	1.92377587363845	0	0	0	1.08011312306332
Gm27028	5.60356324124217	0	1.93287038595889	0	5.76898695390123	2.16022624612665
Mir30c-2	1096.43054086972	1119.63755845758	1041.81713803184	1173.41948078801	1242.25519074007	1206.48635846173
Gm29107	363.297683473868	435.735235379108	349.84953985856	495.902950175471	442.288999799095	469.849208532546
Gm20954	0	0	0	0	0	0
Ogfrl1	2538.4141482827	2726.9523008825	2530.12733522019	2284.85109280409	2330.6707293761	2098.65979811204
Gm7784	2886.76899644659	2919.32988824634	2967.92247763988	2850.35445703928	2865.26352043761	2756.4486900576
Gm28822	1590.4780333059	1692.92276880183	1700.92593964383	1755.23544206844	1786.46296005808	1459.23282925855
B3gat2	303.526342233951	302.032812161236	329.554400805991	355.614615586358	366.330671572728	326.194163165124
Smap1	7249.14297975362	7070.8382235581	7804.93061850201	7654.958040099	7824.66930514137	7882.66557211614
Sdhaf4	0	0	0	0	0	0
Gm26524	1.86785441374739	0.961887936819223	0	0	0	0
Fam135a	0	0	0	0	0	0
Gm37580	0	0	0	0	0	0
