sample.ID	size.factor	sizeFactors.byGenes	sizeFactors.byCountbins
GFPN1	0.817321752391825	0.817321752391825	0.803766408004848
GFPN2	0.97701246847746	0.97701246847746	1.07242766737253
GFPP1	1.01943060599065	1.01943060599065	1.03253474570074
GFPP2	1.00683973427394	1.00683973427394	1.03477212658962
SOX9N1	1.0197543978367	1.0197543978367	1.03041912145308
SOX9N2	1.09215275004649	1.09215275004649	1.09471188738993
SOX9P1	1.32092295201926	1.32092295201926	1.27135105653127
SOX9P2	0.860083587723464	0.860083587723464	0.839904643774834
