	16207X1	16207X2	16207X3	16207X4	16207X5	16207X6	16207X7	16207X8
gene.10885.729	156.263269475923	27.0948592740455	97.2759913586792	92.4348117465668	91.9190488471332	59.1262235245808	83.8061424358743	93.5137674153061
gene.12592.470	233.393216589039	147.086378916247	27249.1889263108	396743.024762447	34660.7931578911	329846.851525991	24496.154496995	476459.169197316
gene.12594.1109	318.536664700921	210.952832919354	27581.7139988125	399163.71859482	35282.2912722553	332133.405308157	24795.1900506866	479174.330560526
gene.2231.292	558.94169466388	499.319549478838	508.217424241263	814.524578756876	502.421164721262	844.07781169574	491.408744283081	910.12817821641
gene.26755.196	2233.76340340583	20075.3553749767	2541.08712120632	40596.271083705	2123.53893529798	47208.2118137899	2531.32643857448	33714.9752613835
gene.35943.203	109.183951108177	23.224165092039	81.3941968511398	113.484323332419	77.2955638032711	61.1650588185319	105.710020572523	119.610632740508
gene.36323.1068	14.0236267478393	5.80604127300975	1.98522431344243	31.1166693008245	0	32.621364703217	0	26.0968653252017
gene.38411.615	57.0961946162028	7.741388364013	46.6527713658972	52.1661808866763	49.093128361537	78.4951588171159	42.8554137456176	39.1452979878026
gene.43040.9	110.185638733023	18.3857973645309	70.4754631272064	53.0813770425829	86.6963756171825	69.3203999943361	71.4256895760293	71.7663796443047
gene.5846.41	252.425281461107	94.8320074591592	234.256468986207	247.102962094782	156.680196898522	428.155411729723	230.466891698654	307.72553695967
