gene_id	gene_name	baseMean	log2FC_time	log2FC_time.1	log2FC_T_vs_U	pval_T_vs_U
uc011cne.2-x0-0	uc011cne.2-x0-0	14.4851661676045	-0.108283412898471	0.619593208014548	8.14795249291908	0.619593208014548
uc003jce.1-x0-0	uc003jce.1-x0-0	15.6062529448894	-0.0886728846771233	0.19701781223628	-1.12033029438712	0.19701781223628
uc003maz.2-x0-0	uc003maz.2-x0-0	16.5531983084293	-0.0877833224483146	0.88261153161164	6.2599386245817	0.88261153161164
DAC+SB.709.1-x1-0	DAC+SB.709.1-x1-0	111.317727414383	-0.082628944222686	0.0182168288089255	6.92299489676446	0.0182168288089255
uc011cmm.2-x0-0	uc011cmm.2-x0-0	4.31412075287856	-0.0786675941913371	0.631481209663438	7.82679873730776	0.631481209663438
uc031sjb.1-x0-0	uc031sjb.1-x0-0	1.66313791223613	-0.0778897643688362	0.464530263396502	4.12831401283211	0.464530263396502
uc010isy.3-x0-0	uc010isy.3-x0-0	147.629971232686	-0.0751978832370142	0.314923661477223	7.87550206512797	0.314923661477223
uc010iyn.3-x0-0	uc010iyn.3-x0-0	18.2671508492628	-0.0704497623016144	0.946447778702536	6.020088563909	0.946447778702536
uc010izo.3-x0-0	uc010izo.3-x0-0	2.42036768788656	-0.0698922338192055	0.920611500474753	3.33679264390385	0.920611500474753
uc003kfm.3-x0-0	uc003kfm.3-x0-0	1.75374298855569	-0.0698232535715546	0.702159119602414	1.97127589576781	0.702159119602414
uc011cta.1-x0-0	uc011cta.1-x0-0	5.11624710982645	-0.0642986489646943	0.323776994305952	-1.26479893572805	0.323776994305952
uc031sjq.1-x0-0	uc031sjq.1-x0-0	49.8054680318335	-0.0633592120636485	1	6.64949406915284	1
uc003jcv.3-x0-0	uc003jcv.3-x0-0	1.05378759334297	-0.0619094578679189	0.436375380190651	2.71331847779049	0.436375380190651
uc003kbk.3-x0-0	uc003kbk.3-x0-0	17.2940911386883	-0.0604513222106529	0.0929938879268224	0.11613012913241	0.0929938879268224
DAC+SB.66.2-x1-0	DAC+SB.66.2-x1-0	5.65127845097382	-0.0596312437455444	0.627356185073754	4.56302614363025	0.627356185073754
DAC+SB.23.2-x1-0	DAC+SB.23.2-x1-0	5.46282022594875	-0.0589806984070086	0.529253185133774	3.92698233953491	0.529253185133774
STRG.189.2-x3-0	STRG.189.2-x3-0	0.960122814011116	-0.0571271738239342	0.722877867293981	3.21622868101582	0.722877867293981
uc003kee.3-x0-0	uc003kee.3-x0-0	1.16110125578202	-0.056581086035478	0.708991090833235	3.08979926399487	0.708991090833235
uc010ixu.3-x0-0	uc010ixu.3-x0-0	8.81757127314654	-0.0563463697695663	0.536848755150522	-0.194046974712122	0.536848755150522
uc003kmr.3-x0-0	uc003kmr.3-x0-0	44.2702959641013	-0.0562078357315806	0.893212080861219	2.06297858693309	0.893212080861219
DAC+SB.51.2-x1-0	DAC+SB.51.2-x1-0	16.0535879045614	-0.0540662169753783	0.341090811655162	5.72831547521991	0.341090811655162
DAC+SB.725.1-x1-0	DAC+SB.725.1-x1-0	27.0418490609596	-0.0488499386799333	0.529063510997349	7.57959859287183	0.529063510997349
uc011crg.2-x0-0	uc011crg.2-x0-0	7.53994043970367	-0.0480981343347536	0.722353569011032	5.55392727148708	0.722353569011032
uc010jlv.2-x0-0	uc010jlv.2-x0-0	13.4989767672752	-0.0468654514455582	0.895921416282715	3.15124577752458	0.895921416282715
uc021xvz.1-x0-0	uc021xvz.1-x0-0	5.32374101876688	-0.0462045562700216	0.0726794055532066	2.06636602227879	0.0726794055532066
uc010itg.1-x0-0	uc010itg.1-x0-0	0.832596515548684	-0.0451365315032992	0.564930166854752	3.31149077211442	0.564930166854752
uc003mky.2-x0-0	uc003mky.2-x0-0	6.77438070170768	-0.0438476330217599	0.894306191665216	2.64824517400253	0.894306191665216
uc010iuw.1-x0-0	uc010iuw.1-x0-0	1.36332296801813	-0.0433041827318574	0.540412487349332	2.05457441513281	0.540412487349332
uc010jjl.1-x0-0	uc010jjl.1-x0-0	2.17525950911182	-0.042206052924617	0.338214916300399	1.43922812752645	0.338214916300399
uc003lng.2-x0-0	uc003lng.2-x0-0	8.96136916153283	-0.0419465701816557	0.278976723155481	4.76602693496385	0.278976723155481
uc003jvy.2-x0-0	uc003jvy.2-x0-0	28.1587337241062	-0.0409069949898107	0.00668928671379723	3.80108994446934	0.00668928671379723
uc011cyr.2-x0-0	uc011cyr.2-x0-0	8.07139533125397	-0.0403887978688143	0.841921910020548	1.0390766603762	0.841921910020548
DAC+SB.777.3-x1-0	DAC+SB.777.3-x1-0	0.40440205485989	-0.0393953974757115	0.788194194644122	1.97950043743874	0.788194194644122
uc003kmh.3-x0-0	uc003kmh.3-x0-0	27.6373743713612	-0.0388734977408735	0.109160563992726	5.19633252115315	0.109160563992726
DAC+SB.43.1-x1-0	DAC+SB.43.1-x1-0	0.79603164491804	-0.0385263017287406	0.913417464454708	2.78684609888537	0.913417464454708
DAC+SB.146.4-x1-0	DAC+SB.146.4-x1-0	120.770409991373	-0.0381044844350945	0.540342915222508	2.2511133504366	0.540342915222508
uc021ybj.1-x0-0	uc021ybj.1-x0-0	0.993436073491983	-0.0375323703646833	0.453932318277207	2.84053554010194	0.453932318277207
uc003jfp.3-x0-0	uc003jfp.3-x0-0	0.841123817941597	-0.037227486476294	0.583567869781673	0.893577896337072	0.583567869781673
DAC+SB.103.1-x1-0	DAC+SB.103.1-x1-0	24.0773590982886	-0.0368989283881526	0.176236517358792	2.77387797699251	0.176236517358792
