	gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1	dsRNA_tag_1019	101.493543121414	2.54289665729867	1.23484084771992	2.05929101065455	0.0394663691118563	0.969053363761131
2	dsRNA_tag_1025	39.7570993984599	5.47461273792539	2.67592678507264	2.04587538361098	0.0407686328362846	0.969053363761131
3	dsRNA_tag_1052	36.0403732130536	5.3296626335206	2.78030549479833	1.91693417989205	0.0552462941090103	0.969053363761131
4	dsRNA_tag_1057	163.885387953086	1.97530945319746	1.01372170757938	1.94857172183302	0.0513465919058533	0.969053363761131
5	dsRNA_tag_110	127.172894215276	1.8842013913934	1.01936343411464	1.8484098294441	0.0645430778264637	0.969053363761131
6	dsRNA_tag_111	50.1833272402025	2.42671329614439	1.41513893458719	1.71482335538474	0.0863776181525274	0.969053363761131
7	dsRNA_tag_1157	10969.9532829712	1.68949993516024	1.01469268905118	1.66503607780997	0.0959055582488818	0.969053363761131
8	dsRNA_tag_1158	10950.9550105264	1.72406235098216	1.02591866757715	1.68050587777466	0.0928589316687712	0.969053363761131
9	dsRNA_tag_1179	59.0128508502478	3.11120941093612	1.52221317506963	2.04387234448539	0.0409661598766582	0.969053363761131
10	dsRNA_tag_1276	147.236193461734	1.98271831248951	1.03151020986233	1.92215093319739	0.0545867687695896	0.969053363761131
11	dsRNA_tag_128	57.1118532466459	2.00867443994793	1.20120011221955	1.67222298725592	0.0944803592279739	0.969053363761131
12	dsRNA_tag_1294	80.1512085479949	1.57787015017961	0.956782701304202	1.64914159508611	0.0991186298674319	0.969053363761131
13	dsRNA_tag_13	212.199484480161	1.24516771942521	0.749120890570671	1.66217193392732	0.096478305700834	0.969053363761131
14	dsRNA_tag_1300	54.3882603739393	3.86291160344576	1.79355054939646	2.15377905280989	0.031257503186351	0.969053363761131
15	dsRNA_tag_1311	38.6469301734893	3.779492027035	2.11527650407459	1.78676027448643	0.0739762425289273	0.969053363761131
16	dsRNA_tag_1312	75.3928627433767	2.62877100135678	1.29337465571388	2.03248995930403	0.0421040792357521	0.969053363761131
17	dsRNA_tag_1363	42.6161195410802	5.57697533020032	2.61724057317337	2.13086079566553	0.0331006120044544	0.969053363761131
18	dsRNA_tag_1369	47.0049662512428	2.73970001435345	1.56654351338077	1.74888216698232	0.0803113897455999	0.969053363761131
19	dsRNA_tag_1416	117.923713262659	2.13564753910978	1.10322748966171	1.9358179152739	0.0528900059264057	0.969053363761131
20	dsRNA_tag_1417	12025.3379974078	1.77302692350287	1.03762519138978	1.70873542606277	0.0874999688220485	0.969053363761131
21	dsRNA_tag_1418	11120.4029481956	1.70191079267826	1.01815060201907	1.67157077676254	0.094608991334112	0.969053363761131
22	dsRNA_tag_1419	11014.7512863053	1.66810689548847	1.00759789110058	1.65552837121009	0.0978173663070711	0.969053363761131
23	dsRNA_tag_1420	11527.065960622	1.72289078623215	1.0234065081797	1.68348625151564	0.0922809986764824	0.969053363761131
24	dsRNA_tag_1421	11035.678979361	1.71287890174163	1.02200282427237	1.67600212158038	0.0937377770474925	0.969053363761131
25	dsRNA_tag_1423	11412.452691735	1.70284829636994	1.01737078318968	1.67377353911337	0.0941751146296678	0.969053363761131
26	dsRNA_tag_1449	55.2626858327641	3.54098571641909	1.68731580422335	2.09859097363754	0.0358529727364724	0.969053363761131
27	dsRNA_tag_1513	37.4866027004025	4.35295142211793	2.35004022332112	1.85228804976209	0.0639844708103339	0.969053363761131
28	dsRNA_tag_1526	88.3922087134775	2.01945448196751	1.08606161856003	1.85942901162923	0.0629663527541097	0.969053363761131
29	dsRNA_tag_1550	59.8538374769952	3.37964799536151	1.59403518999319	2.12018405652384	0.0339905264291373	0.969053363761131
30	dsRNA_tag_1616	42.9354603874196	3.94176368688969	2.03141732172808	1.94040074618273	0.0523310059902442	0.969053363761131
31	dsRNA_tag_1772	97.036146805493	1.85750641251548	1.0283693639208	1.80626385585184	0.0708771347437891	0.969053363761131
32	dsRNA_tag_1795	56.1371112915889	3.2779528274429	1.59955806045305	2.04928655513415	0.0404341025730147	0.969053363761131
33	dsRNA_tag_1840	44.9367744872538	4.01166573342721	2.00316921020853	2.00265944233917	0.0452138548733666	0.969053363761131
34	dsRNA_tag_1869	63.7210384067499	1.94790115634447	1.13220215186788	1.72045350128585	0.0853500390038801	0.969053363761131
35	dsRNA_tag_191	947.522745746046	1.7981208298863	0.950375943286006	1.89201004359301	0.0584896426364014	0.969053363761131
36	dsRNA_tag_196	114.140109413098	2.38288578414417	1.18007992659703	2.01925795909065	0.043460415034144	0.969053363761131
37	dsRNA_tag_1981	135.614527373224	1.52469028230902	0.89697025708364	1.69982256409071	0.0891643059182311	0.969053363761131
38	dsRNA_tag_2070	145.285037610016	1.8034421600198	0.977368956665362	1.84520098343708	0.0650083075111036	0.969053363761131
39	dsRNA_tag_2092	51.8485810776585	3.15094780689405	1.61387451720407	1.95241189652889	0.0508893217531689	0.969053363761131
40	dsRNA_tag_2103	76.2505687861628	2.6477125296368	1.29674848361418	2.04180884966786	0.041170496080534	0.969053363761131
41	dsRNA_tag_228	624.680853688086	1.87547387721877	0.955144651206512	1.96354957843267	0.0495823495919838	0.969053363761131
42	dsRNA_tag_2306	105.965986911771	1.73464979279322	0.984386040355861	1.76216415276078	0.0780415667981176	0.969053363761131
43	dsRNA_tag_2436	40.3790616751001	3.39840586791885	1.93444973549602	1.75678168605785	0.0789550278540065	0.969053363761131
44	dsRNA_tag_2463	71.642697725893	2.84661593972014	1.36948667799255	2.07860067970346	0.0376540684638762	0.969053363761131
