index_drop_dot	diff
ENSG00000002745	-3.1280453725606203
ENSG00000003249	-1.78124643777312
ENSG00000004799	-4.449446042290759
ENSG00000004948	-1.96766712207511
ENSG00000005243	-2.0100732474009297
ENSG00000005379	-1.26983393636633
ENSG00000006042	-1.45412803622435
ENSG00000006283	-2.2434781864512003
ENSG00000007171	-1.8760286873466598
ENSG00000007372	-1.67371056070896
ENSG00000007516	-1.8042410592428002
ENSG00000008118	-0.984058262794708
ENSG00000010319	-1.08362842102308
ENSG00000010327	-1.79184829639974
ENSG00000011028	-1.2406847684506002
ENSG00000011083	-1.8095020263627901
ENSG00000013297	-2.2663854653018998
ENSG00000015413	-1.0763541550762699
ENSG00000018236	-3.8553171025211297
ENSG00000019186	-2.8351131544707
ENSG00000020181	-1.09516863416601
ENSG00000020633	-1.51501306151122
ENSG00000021645	-1.03441638963536
ENSG00000021826	-1.02901854936223
ENSG00000022556	-1.02317899707482
ENSG00000023892	-1.099377903061
ENSG00000025434	-1.5970322415898202
ENSG00000025708	-2.04021077361481
ENSG00000028137	-2.14208661902799
ENSG00000028277	-0.9820054760395859
ENSG00000038427	-1.42956697807518
ENSG00000039523	-1.06261163023928
ENSG00000040199	-0.9874677501576109
ENSG00000041982	-1.16471701109907
ENSG00000042062	-1.26776027578453
ENSG00000042781	-1.8152354722259598
ENSG00000042980	-3.0542844891282006
ENSG00000048342	-1.4181532911888501
ENSG00000050327	-1.4690846940614
ENSG00000050555	-2.1678767884807
ENSG00000050628	-3.52988949962912
ENSG00000050730	-3.62372500206999
ENSG00000051523	-1.3388434228934099
ENSG00000052344	-1.89159166649722
ENSG00000054219	-1.15207675934054
ENSG00000054356	-1.53915672572007
ENSG00000054983	-1.448361586234
ENSG00000055813	-2.901186257628
ENSG00000057149	-4.37799775939994
ENSG00000060140	-1.3728825607701498
ENSG00000060566	-5.397971820736751
ENSG00000060718	-3.02438239139881
ENSG00000062524	-2.13189605178848
ENSG00000063015	-1.50409254501501
ENSG00000063127	-2.3372185578901097
ENSG00000063438	-2.00959011936156
ENSG00000064012	-1.06926102688555
ENSG00000064547	-1.41675117357002
ENSG00000064787	-1.34842177684975
ENSG00000064989	-2.3452292464296
ENSG00000065320	-1.03194781342802
ENSG00000065427	-0.9769839299340759
ENSG00000065609	-1.38919323473998
ENSG00000065621	-1.54384186461827
ENSG00000065717	-1.1775431022599099
ENSG00000066032	-1.7444055970387
ENSG00000066056	-3.08092221377248
ENSG00000066336	-1.90329773007488
ENSG00000066468	-0.980086026023657
ENSG00000067840	-1.76843563093907
ENSG00000069424	-2.4716373072171
ENSG00000069431	-1.1996264026178
ENSG00000070019	-1.01255846674235
ENSG00000070087	-1.17749376757493
ENSG00000070190	-2.39993189772744
ENSG00000070388	-2.18047897592234
ENSG00000070915	-4.35575792815336
ENSG00000072182	-2.9850416047791404
ENSG00000072274	-1.2037333891142399
ENSG00000072778	-1.74176773636742
ENSG00000072858	-2.4535113283847902
ENSG00000073756	-1.47883460041343
ENSG00000074181	-1.4091253899169698
ENSG00000074660	-2.00820980628245
ENSG00000075073	-1.67146111776093
ENSG00000075275	-1.53308926576177
ENSG00000075884	-1.20240839772648
ENSG00000076706	-1.5515284775993299
ENSG00000076716	-3.78047069232473
ENSG00000078589	-1.7022322547392499
ENSG00000079101	-1.4519706428740502
ENSG00000079931	-1.25756949062122
ENSG00000080166	-1.8247679743801102
ENSG00000080493	-1.39709064939046
ENSG00000080618	-1.22201130308442
ENSG00000081051	-2.28988072935747
ENSG00000081052	-3.10023504615795
ENSG00000083307	-1.35133915348131
ENSG00000084453	-2.79295148448142
ENSG00000084636	-1.49418287897091
ENSG00000085563	-6.06279206979603
ENSG00000086696	-5.66476365159781
ENSG00000087076	-2.32471394232142
ENSG00000087128	-3.62677909359624
ENSG00000087237	-1.3212957639398302
ENSG00000087253	-1.4680264382709802
ENSG00000087258	-1.70655737705749
ENSG00000088002	-1.9301929845236
ENSG00000088340	-1.21534889779556
ENSG00000089199	-4.76708406736343
ENSG00000089505	-1.07651151909543
ENSG00000089692	-1.2730048886686
ENSG00000089723	-1.0173265817544301
ENSG00000090339	-2.2509404884507003
ENSG00000090863	-1.13978509342589
ENSG00000090932	-1.52025689225527
ENSG00000091129	-1.67600294388675
ENSG00000091831	-1.2233521630451698
ENSG00000092051	-1.35984229036338
ENSG00000092200	-0.978259629381068
ENSG00000093217	-1.10520166820378
ENSG00000095539	-1.14714096861174
ENSG00000095752	-1.42431606882017
ENSG00000095932	-1.69693880268052
ENSG00000096006	-5.09628851866042
ENSG00000099256	-1.1045767127542099
ENSG00000099284	-1.39742870381652
ENSG00000099954	-1.2941300533187101
ENSG00000099968	-0.9850563126458521
ENSG00000100077	-0.984118250096364
ENSG00000100078	-4.68812130547184
ENSG00000100156	-1.86501877995194
ENSG00000100206	-1.4704969421418101
ENSG00000100253	-1.20305554765847
ENSG00000100276	-1.9293431656367799
ENSG00000100365	-2.8718872209429995
ENSG00000100368	-1.61663562326859
ENSG00000100385	-4.15415126989034
ENSG00000100473	-1.25332479912538
ENSG00000100626	-1.32699804508789
ENSG00000100628	-1.74605700432901
ENSG00000100867	-1.04033497728479
ENSG00000100985	-7.006329355301629
ENSG00000101017	-1.11343678217648
ENSG00000101049	-1.25557702002384
ENSG00000101076	-1.88337727091743
ENSG00000101115	-1.4439999558144598
ENSG00000101210	-2.23095391332868
ENSG00000101323	-1.7749741993378898
ENSG00000101333	-1.61938275449054
ENSG00000101335	-1.28963501962981
ENSG00000101425	-1.40498742733895
ENSG00000101695	-1.51142255057218
ENSG00000101890	-1.3082837213219098
ENSG00000101958	-1.5822539267736202
ENSG00000102057	-1.05333280804194
ENSG00000102524	-1.3221948057513402
ENSG00000102539	-1.9391643444566
ENSG00000102967	-1.12557045297667
ENSG00000103005	-1.0293139586584399
ENSG00000103056	-1.06331349563349
ENSG00000103066	-1.37742471904376
ENSG00000103067	-2.36283011195015
ENSG00000103091	-1.04113622122269
ENSG00000103154	-1.31267661904836
ENSG00000103184	-1.7495066323645299
ENSG00000103187	-1.06234379383394
ENSG00000103257	-1.10677049891435
ENSG00000103426	-3.3934999071084397
ENSG00000103485	-5.02504492051255
ENSG00000103494	-1.14906372206142
ENSG00000104043	-1.93330456018312
ENSG00000104237	-2.5652853532176296
ENSG00000104267	-1.00722873408997
ENSG00000104313	-1.6320402540954
ENSG00000104327	-2.21011810031271
ENSG00000104369	-1.22687681405758
ENSG00000104823	-1.09075398669192
ENSG00000104826	-1.13252049501788
ENSG00000104888	-1.57265079397973
ENSG00000104941	-1.23901208720627
ENSG00000104953	-1.11741490369652
ENSG00000104967	-3.32051018141168
ENSG00000105131	-1.15675529958775
ENSG00000105246	-1.68275906869317
ENSG00000105369	-1.17948198649459
ENSG00000105374	-2.4801804351237
ENSG00000105383	-6.0108189502715
ENSG00000105419	-2.9644781591197997
ENSG00000105472	-5.712954042510071
ENSG00000105492	-2.84939465085517
ENSG00000105609	-2.37750351770844
ENSG00000105655	-1.03239527017915
ENSG00000105696	-1.35272443738131
ENSG00000105699	-2.18737998182917
ENSG00000105767	-1.1212621964643301
ENSG00000105808	-1.6290809143665799
ENSG00000105851	-2.93921429464046
ENSG00000105852	-1.22397445607205
ENSG00000105854	-1.07731147838267
ENSG00000105875	-1.3933575532609799
ENSG00000105967	-2.0063648853483897
ENSG00000106013	-1.5466552766251698
ENSG00000106302	-1.78031865629959
ENSG00000106484	-1.5859246508752298
ENSG00000106526	-1.28789675332538
ENSG00000106686	-1.3530039358376003
ENSG00000106976	-1.01398050691228
ENSG00000107719	-3.96637153295013
ENSG00000107831	-1.4691043489561901
ENSG00000107902	-1.6408201291412903
ENSG00000108176	-1.1500182943733899
ENSG00000108375	-1.9481573161110601
ENSG00000108448	-1.1484191333251899
ENSG00000108556	-1.1042822424306398
ENSG00000108622	-1.92650744868904
ENSG00000108825	-1.5834871238188999
ENSG00000108846	-1.95055520609783
ENSG00000108924	-1.32917241703419
ENSG00000108932	-2.33477826234682
ENSG00000109063	-1.2480009451726999
ENSG00000109107	-1.9368012083856898
ENSG00000109205	-5.11924802883101
ENSG00000109667	-1.0721178918702
ENSG00000109846	-2.4514145530977003
ENSG00000110076	-2.65790114660931
ENSG00000110090	-2.2020387123345695
ENSG00000110195	-1.5274371261283202
ENSG00000110243	-1.48894163437435
ENSG00000110324	-1.43251431918264
ENSG00000110448	-1.15995003152018
ENSG00000110492	-1.33735851491551
ENSG00000110675	-1.4222368561697
ENSG00000110723	-1.20592305569861
ENSG00000110811	-1.09313942880218
ENSG00000111052	-2.42247743803341
ENSG00000111087	-1.79752364671617
ENSG00000111181	-1.5590752010872502
