	Exp.hl60.log2FC_120h	Exp.hl60.pval_120h	Exp.kg1.log2FC	Exp.kg1.pval	Exp.molm14.log2FC	Exp.molm14.pval	Exp.ociaml2.log2FC	Exp.ociaml2.pval	Exp.ociaml3.log2FC	Exp.ociaml3.pval	Exp.thp1.log2FC	Exp.thp1.pval	Stbl.hl60.logFC	Stbl.hl60.pval	Stbl.kg1.logFC	Stbl.kg1.pval	Stbl.molm14.logFC	Stbl.molm14.pval	Stbl.ociaml2.logFC	Stbl.ociaml2.pval	Stbl.ociaml3.logFC	Stbl.ociaml3.pval	Stbl.thp1.logFC	Stbl.thp1.pval	TE.Estimate_treatmentDRUG	TE.fdr_Pr...z.._treatmentDRUG	Rho.Mann-Whitney p-value	Rho.rho score	Gamma.Mann-Whitney p-value	Gamma.gamma score
FAM102B	-0.9982244019353579	1.57854613650519e-33	0.0342900458286989	0.8517267986420709	0.11800178352805199	0.5704166877650451	-0.134372698423982	0.3651610340033571	0.264525535723441	0.160570737961159	-0.0628400105249471	0.694902327201552	0.10427717566785401	0.446281922173	-0.00493519348878765	0.9731294155970479	0.21048817946282503	0.21677570318562198	0.0136283480829991	0.929225831926995	0.29502580644114695	0.0285395457456544	-0.0579189780271466	0.66300494629516	0.6677148445322509	0.64277120467366	0.938897920992	-0.0181773169044	0.625404010164	-0.025869013783
USP4	-0.9311213332609929	0.00181998618818772	0.301590535132432	0.169632312192584	0.28656738311340696	0.174506103673892	-0.239047398819573	0.239329460301602	0.40519446355077504	0.146583590664198	-0.0928560763171279	0.6102229400943461	0.126579841751961	0.32197691669579603	0.0429371611132262	0.720234878807379	-0.246926189184475	0.0539061043146801	-0.16750485198714302	0.139999140132458	0.0118494384785238	0.9082843345072691	0.0534380430453737	0.540694860845129	0.262166253172004	0.6002123998604549	0.289125180601	-0.0980307301382	0.548227772403	0.000677154001172
MAN1A2	-0.8709600769249021	3.6459344497683206e-05	0.0019674234102946197	0.992113422460245	0.32413897917915196	0.130594368225601	-0.0625290445615002	0.6924556821460369	0.29225287495984903	0.342387908631617	-0.0868832121667909	0.627368723221418	0.23722280016623498	0.130053148135415	0.00222743899432602	0.979979376661174	0.499038246457291	0.0010024170185277302	0.049658024401817005	0.661016841942152	0.624615433076198	0.000323603526591173	0.28946138969944396	0.0227928183818662	0.290171559565883	0.8042290737832141	0.354775107634	-0.100820417101	0.808772848775	0.00809844861819
TANK	-0.8494248881521991	1.72746165477196e-12	-0.0188706102282682	0.947553235459992	0.22619830854160602	0.48543879350520097	0.0348023875546073	0.872483661732374	0.424078993849089	0.0724601954092791	-0.15639254993732501	0.49499125955888207	0.38536173313153604	0.006137941725886021	0.127659907601531	0.250131190958845	-0.050660958810757994	0.7656178374104259	0.13764569209036098	0.27528405523915694	0.7007671744215721	0.0009310097313106901	0.43988191199388793	0.00160559991420883	0.642825678110058	0.592803203853006	0.490792482361	0.0369144915147	0.192861176954	-0.0104274372821
CD46	-0.839307976711629	0.000187909894963303	0.0493138209666589	0.860636694387697	0.9033077347975749	4.3759004082375204e-05	0.147514477703193	0.510371735532275	0.0887357995159114	0.736032271602911	0.14832078567648999	0.611868959462804	0.438628413187368	0.015427397922408001	0.146627098486093	0.24013655082703303	0.10635665732657	0.40670999616713704	0.158902257671412	0.157842830708611	0.250139498654094	0.0559658503703784	0.0769395638362725	0.6039746465921839	0.047590917949088	0.9443993801235441	0.960480563912	-0.0448071357345	0.304188208026	0.0128741878664
ADAM17	-0.8365775749952521	0.000127104356373502	0.301201554039046	0.0729139686234076	0.0827888281201031	0.69020046889367	0.23345924235167304	0.19091211860577104	-0.0477847094532543	0.821382177212172	0.0324326536090604	0.82001981075722	-0.502570815023166	0.0164883352114881	-0.385096463812242	0.0125387517923941	0.10871786930494699	0.37794449691971205	-0.24200902011317701	0.22278058541558998	0.15316763929613902	0.49862685346940794	-0.464925373975165	0.0699639936639803	-0.089962141517216	0.945448023484682	0.97601192084	-0.00715119017338	0.617124695132	0.0121089832136
STK17B	-0.799422003537881	2.77270553277829e-22	0.42733990548409706	0.012225173925816998	0.117771756207019	0.50515640975388	0.145641782780747	0.3822134004387221	0.150582702294031	0.472756378611718	0.318744036717418	0.0696063828308787	0.544472874821343	0.000829999024190102	0.0822254896255168	0.451230555612384	0.267744669295054	0.034641927788753996	0.209759292512668	0.0757494677086364	0.15122828921784398	0.247726123847638	0.177051882312322	0.0498752140664479	-0.03093404058116	0.974962872172277	0.913327986662	-0.000702678662443	0.478150575118	-0.00604595912254
SLC22A15	-0.7821126137913	0.00170395782606761	1.01463946413285	0.000308847763337655	-0.15070332293052602	0.5254162536925441	0.16316168881520599	0.494790803881483	-0.0645298607825621	0.7436644598336261	0.0304118633635777	0.8940445194518121	0.474598090071439	0.0253568896414063	-0.327466105785984	0.007841107452207929	0.0965179831780254	0.6060702387269761	0.15347316650584802	0.23996866940982398	0.457293435756254	0.00119375391192936	0.111738184392129	0.318626490420995	0.251626265461104	0.871306298000279	0.596243956728	-0.0248049644556	0.592580394161	-0.0062230402509
SCMH1	-0.7526008524985089	1.1090100034544899e-07	0.289321273239733	0.19578435895779603	-0.816263118077613	0.0067423731180611705	0.168728942538948	0.3547033234478329	-0.455992824841502	0.166794223452324	-0.15292789590890601	0.38086995784448296	0.00547044356668436	0.9749337908630079	-0.134131596542219	0.365500566933009	0.19360637997761898	0.26364045089696697	0.00156643699118406	0.9898010484117	0.28472723194899396	0.03637822303604701	-0.0361275487276262	0.711646835955765	0.6388898541546669	0.568585944111089	0.118842058468	-0.0852158752721	0.716907103586	0.029368148544
ASPM	-0.738635729268279	0.0014154326613466301	0.26811923853965397	0.0467460884539007	-0.10723660979195801	0.47491721661677294	-0.0763207174254967	0.565189998662952	0.140194673904714	0.35058918889878804	0.22869018704846503	0.087874239709417	0.10347540364052302	0.499217481902012	0.116132695157955	0.231805180177898	-0.165945820017565	0.17263308797139001	0.0386133842778997	0.6827002763946429	0.0596916380153281	0.571981648347343	0.0345833531132814	0.712448949224163	0.11999835170608	0.768332293798948	0.00368112089941	0.184025546405	0.000573239133482	-0.181259724303
ATAD3B	-0.7199746836379058	0.108306390360166	-0.21240708342370898	0.435039886609224	-0.17870120235112	0.49600454985773207	0.0398187627952713	0.9241388382193442	-0.278892372833398	0.293617965657122	0.0968127504576293	0.656897514659708	0.39335654594684705	0.0309372950619752	0.207851614854573	0.0575489426943486	-0.0945661122645972	0.563672172270357	-0.306262076297292	0.0757166882540761	-0.34655405907077297	0.07548450289352099	-0.140049223679536	0.14780110436346802	0.153673377155603	0.9255070764644598	0.524980579041	0.0348759420321	0.747783993231	-0.00526736219776
LBR	-0.692085125466318	2.52746310983057e-06	0.13878622738628196	0.41669402390947496	-0.23453848004617603	0.15760234938121398	-0.0668234171488065	0.6900444788900251	-0.0304804608463802	0.877658107360468	0.29642348033120003	0.0722534729390077	0.12166617198724901	0.306492027853592	-0.0254592752413041	0.8418474740455091	-0.125106711162731	0.511578001692114	0.0414958512421583	0.739967262001956	-0.0768197236534703	0.5986068259263909	-0.0536582657421778	0.562926604367712	0.096836352647659	0.7750100504669949	0.828005691345	0.0177923493345	0.0321200017462	0.0324274334259
KIF21B	-0.6857341737065861	3.61079008511976e-18	0.00946568710479669	0.957097548368139	-1.0990924741630401	5.857802958996589e-11	0.203696403630719	0.219022576743568	0.13073488479091902	0.5499914194433599	0.5367660316000711	0.00274907757766382	-0.0408376245162524	0.819034315398961	-0.15455558327264002	0.23483065122178898	-0.139646839744852	0.280197790326292	0.0841866810287544	0.46711793488004705	0.0223116671980989	0.883232869938948	0.0405520600855073	0.82722665507323	0.39351739335220703	0.5764059492934089	0.653184312171	-0.0712158970384	0.43857742408	-0.0174154251325
RNF123	-0.6670303307525121	0.8143130404337678	-0.8607979145061709	0.0378855979186994	-0.788187188601675	0.420129109837217	0.0400826204817813	0.925264322458831	-0.136256214177282	0.88213305394638	-0.0643057120373013	0.804196812316888	-0.344988629470618	0.152310688179712	-0.125730266545085	0.248046876220867	-0.0623484046817603	0.592531927729942	-0.0481766130116689	0.6102862052473149	-0.251558211813334	0.13499284247498	-0.0486714858552557	0.696044640751195	-0.10380811723649301	0.939372762362892	0.119413018532	0.0613719642187	0.834828180611	0.0355698352456
PRCC	-0.6668178523614771	0.00778964691028376	-0.175084661693002	0.42848367569759205	-0.246675350226658	0.314466624140742	-0.117145480600265	0.648796729004202	-0.0215782919947851	0.932817598203444	0.0228835905567991	0.88051414186098	-0.22153438301526002	0.29155370894459604	0.0157850735252082	0.887775955989246	0.06477460410563801	0.629955911668855	0.400263142131975	0.0242288543603847	0.181372928765739	0.17234490252081397	0.134948497369114	0.25469313263233	-0.181737224342073	0.8359880348820029	0.00486392247069	0.172118271676	0.149064081317	-0.011069911471
AZI2	-0.6125270827180961	0.000697225624355961	-0.26227800227673603	0.49977298766795203	0.30265828045737897	0.677968344923217	-0.599980361842008	0.14843289302535997	0.7627332388354291	0.0335656608324587	0.5559993676947691	0.43717347081415503	0.103323050077	0.5200277797753471	-0.20142922918031897	0.12758429239329402	-0.44405412945961104	0.0712689876725153	-0.262798647081793	0.121996527623154	-0.0839947659221484	0.530594088634889	-0.0419115642259706	0.6868360929781819	0.255192316341757	0.8448115779504151	0.81022984564	-0.0071518307195	0.90999139681	0.0122518404864
CLK1	-0.6061254796722271	0.00326242612999558	0.310216020143615	0.0325203123929479	0.17786964594256602	0.33549647734366805	-0.0513364979316531	0.785413568498873	0.321722116947238	0.226960695307477	0.29923482558125003	0.0637681621992389	0.4366819209258	0.00643140730950031	0.286797779240528	0.0210435926674657	-0.0409786811707453	0.806652257859971	0.0680570825905053	0.6778642845686961	-0.259770425717803	0.154377897916935	0.26995402541966396	0.0982895817883336	0.217594601758442	0.8042290737832141	0.571812378738	-0.0823446991579	0.274844798013	0.0133982555958
