enteric_50uM_OXL_1	enteric_50uM_OXL_2	sensory_50uM_OXL_
ACVRL1	4	0	41
ACY1	32	24	19
ACY3	0	0	0
ACYP1	82	100	5
ACYP2	14	54	6
ADA	60	2	19
ADAD1	0	0	0
ADAD2	10	0	0
ADAL	178	4	87
ADAM10	102	241	70
ADAM11	66	0	115
ADAM12	472	324	283
ADAM15	2183	227	693
ADAM17	187	12	39
ADAM18	0	0	0
ADAM19	196	314	36
ADAM1A	5	68	33
ADAM2	0	1	0
ADAM20	1	0	0
ADAM20P1	26	66	2
ADAM21	6	0	0
ADAM21P1	0	0	0
ADAM22	97	0	51
ADAM23	180	97	57
ADAM28	1	0	5
ADAM29	0	0	0
ADAM30	1	0	0
ADAM32	1	0	0
ADAM33	0	0	0
ADAM3A	0	0	0
ADAM5	0	0	0
ADAM6	0	0	0
ADAM7	0	0	5
ADAM8	7	43	4
ADAM9	101	258	127
ADAMDEC1	0	0	0
ADAMTS1	89	420	63
ADAMTS10	65	0	114
ADAMTS12	39	30	0
ADAMTS13	16	0	2
ADAMTS14	7	0	1
ADAMTS15	34	71	439
ADAMTS16	0	0	0
ADAMTS17	0	0	2
ADAMTS18	25	1	12
ADAMTS19	26	0	0
ADAMTS19-AS1	0	0	0
ADAMTS2	7	0	34
ADAMTS20	6	0	16
ADAMTS3	8	0	7
ADAMTS4	53	0	27
ADAMTS5	51	83	6
ADAMTS6	37	30	76
ADAMTS7	71	86	0
ADAMTS7P1	8	0	0
ADAMTS8	21	1	1
ADAMTS9	119	0	78
ADAMTS9-AS1	13	0	31
ADAMTS9-AS2	0	0	0
ADAMTSL1	23	5	34
ADAMTSL2	1	1	4
ADAMTSL3	0	0	11
ADAMTSL4	13	0	0
ADAMTSL4-AS1	0	0	10
ADAMTSL5	0	0	0
ADAP1	167	0	67
ADAP2	7	0	24
ADAR	835	372	207
ADARB1	121	183	103
ADARB2	2	0	0
ADARB2-AS1	3	0	0
ADAT1	205	0	44
ADAT2	90	21	26
ADAT3	37	40	5
ADCK1	8	41	4
ADCK2	186	93	49
ADCK3	33	1	32
ADCK4	44	0	26
ADCK5	81	0	43
ADCY1	83	1	54
ADCY10	4	0	23
ADCY10P1	10	0	9
ADCY2	38	31	51
ADCY3	93	129	34
ADCY4	2	0	2
ADCY5	52	0	36
ADCY6	134	184	20
ADCY7	27	0	10
ADCY8	3	0	0
ADCY9	40	24	3
ADCYAP1	23	0	3
ADCYAP1R1	55	0	34
ADD1	472	306	196
ADD2	900	1	85
ADD3	169	652	204
ADD3-AS1	4	0	0
ADGB	0	0	0
ADGRA1	20	0	6
