enteric_50uM_OXL_1	enteric_water_1	enteric_50uM_OXL_2	enteric_water_2
ADAMTS5	51	15	83	88
ADAMTS6	37	11	30	61
ADAMTS7	71	18	86	14
ADAMTS7P1	8	0	0	0
ADAMTS8	21	6	1	42
ADAMTS9	119	32	0	80
ADAMTS9-AS1	13	7	0	12
ADAMTS9-AS2	0	0	0	0
ADAMTSL1	23	5	5	16
ADAMTSL2	1	0	1	13
ADAMTSL3	0	3	0	15
ADAMTSL4	13	26	0	0
ADAMTSL4-AS1	0	25	0	11
ADAMTSL5	0	1	0	0
ADAP1	167	48	0	114
ADAP2	7	1	0	22
ADAR	835	167	372	151
ADARB1	121	7	183	44
ADARB2	2	1	0	4
ADARB2-AS1	3	0	0	0
ADAT1	205	59	0	6
ADAT2	90	27	21	2
ADAT3	37	14	40	6
ADCK1	8	14	41	6
ADCK2	186	74	93	28
ADCK3	33	38	1	4
ADCK4	44	45	0	32
ADCK5	81	9	0	33
ADCY1	83	60	1	59
ADCY10	4	3	0	0
ADCY10P1	10	2	0	0
ADCY2	38	10	31	43
ADCY3	93	14	129	35
ADCY4	2	4	0	0
ADCY5	52	22	0	23
ADCY6	134	10	184	16
ADCY7	27	15	0	11
ADCY8	3	5	0	4
ADCY9	40	14	24	4
ADCYAP1	23	3	0	3
ADCYAP1R1	55	58	0	42
ADD1	472	192	306	150
ADD2	900	643	1	71
ADD3	169	56	652	228
ADD3-AS1	4	0	0	2
ADGB	0	0	0	0
ADGRA1	20	1	0	0
ADGRA1-AS1	5	2	0	0
ADGRA2	259	29	75	111
ADGRA3	50	29	25	77
ADGRB1	19	1	29	3
ADGRB2	588	338	95	126
ADGRB3	152	105	0	48
ADGRD1	10	0	0	23
ADGRE1	1	0	0	0
ADGRE2	18	4	0	14
ADGRE3	0	0	0	0
ADGRE4P	0	0	0	0
ADGRE5	13	1	2	34
ADGRF1	2	1	1	0
ADGRF2	1	0	0	0
ADGRF3	21	1	0	0
ADGRF4	0	0	0	0
ADGRF5	2	0	0	0
ADGRG1	265	285	1	80
ADGRG2	26	7	0	16
ADGRG3	0	1	0	3
ADGRG4	0	0	0	0
ADGRG5	0	0	0	0
ADGRG6	5	1	76	22
ADGRG7	8	0	0	0
ADGRL1	552	251	182	225
ADGRL2	242	79	288	204
ADGRL3	80	32	11	57
ADGRL3-AS1	6	3	20	8
ADGRL4	1	0	0	7
ADGRV1	34	65	0	6
ADH1A	0	0	0	0
ADH1B	1	1	0	0
ADH1C	0	0	0	0
ADH4	0	0	0	0
ADH5	144	42	222	52
ADH6	0	0	0	0
ADH7	0	0	0	0
ADHFE1	2	5	0	0
ADI1	131	27	174	85
ADIG	0	0	0	0
ADIPOQ	15	3	0	1
ADIPOQ-AS1	7	0	0	0
ADIPOR1	99	22	127	36
ADIPOR2	366	203	208	105
ADIRF	5	2	0	1
ADK	66	24	1	25
ADM	150	114	500	4
ADM2	24	13	32	8
ADM5	13	17	0	4
ADNP	766	305	261	236
ADNP-AS1	11	13	23	9
ADNP2	327	110	26	46
ADO	96	52	43	23
ADORA1	128	33	0	44
ADORA2A	24	2	0	0
ADORA2A-AS1	16	0	0	0
ADORA2B	5	2	0	0
ADORA3	0	0	0	0
ADPGK	22	15	58	9
ADPGK-AS1	5	5	0	0
ADPRH	7	0	0	1
ADPRHL1	19	3	0	2
ADPRHL2	188	65	90	12
ADPRM	44	17	98	8
ADRA1A	9	0	0	0
ADRA1B	7	13	0	1
ADRA1D	4	0	0	0
ADRA2A	2	1	0	2
ADRA2B	1	0	0	0
ADRA2C	23	0	30	9
ADRB1	0	0	0	1
ADRB2	29	1	60	7
ADRB3	9	0	0	0
ADRBK1	167	109	187	47
ADRBK2	106	50	0	28
ADRM1	462	105	496	124
ADSL	284	77	167	92
ADSS	118	42	169	20
ADSSL1	21	7	0	13
ADTRP	2	0	0	0
AEBP1	482	183	116	136
AEBP2	152	60	119	28
AEN	2056	496	1305	49
AES	2189	810	805	863
AFAP1	217	102	491	43
AFAP1-AS1	27	4	1	2
AFAP1L1	5	0	0	13
AFAP1L2	49	12	0	48
AFF1	36	38	62	5
AFF2	104	57	7	76
AFF3	277	156	470	244
AFF4	551	293	607	119
AFG3L1P	92	56	42	8
AFG3L2	356	126	211	57
AFM	3	0	0	1
AFMID	11	1	42	17
AFP	0	0	0	0
AFTPH	288	163	155	83
AGA	18	4	22	12
AGAP1	258	150	123	84
AGAP1-IT1	6	0	0	2
AGAP11	9	0	0	3
AGAP2	294	152	10	58
AGAP2-AS1	20	1	19	0
AGAP3	1317	469	336	215
AGAP4	3	0	1	0
AGAP5	7	3	0	0
AGAP6	26	12	0	14
AGAP7P	1	4	0	0
AGAP9	19	4	0	9
AGBL1	8	0	0	0
AGBL1-AS1	0	0	0	0
AGBL2	9	0	0	0
AGBL3	5	4	0	2
AGBL4	0	0	0	10
AGBL4-IT1	0	0	0	0
AGBL5	809	280	838	226
AGBL5-AS1	1	0	0	1
AGER	27	4	1	8
AGFG1	233	55	101	106
AGFG2	23	19	0	6
AGGF1	224	86	220	104
AGK	54	39	1	30
AGL	96	64	74	27
AGMAT	27	12	0	10
AGMO	0	1	0	0
AGO1	152	89	116	57
AGO2	164	101	130	50
AGO3	38	14	61	14
AGO4	150	99	114	72
AGPAT1	580	240	250	184
AGPAT2	170	24	259	33
AGPAT3	264	120	111	160
AGPAT4	385	159	86	108
AGPAT4-IT1	19	27	0	11
AGPAT5	552	260	224	135
AGPS	62	33	26	62
AGR2	6	10	2	2
AGR3	0	1	0	0
AGRN	1062	535	1183	281
AGRP	0	4	0	0
AGT	12	6	1	22
AGTPBP1	183	83	112	67
AGTR1	0	0	0	0
AGTR2	0	0	0	0
AGTRAP	61	25	2	13
AGXT	0	0	0	0
AGXT2	0	0	0	0
AHCTF1	161	106	79	37
AHCTF1P1	6	0	1	0
AHCY	398	135	199	43
AHCYL1	1051	552	602	139
AHCYL2	24	5	0	14
AHDC1	198	148	257	100
AHI1	224	118	69	129
AHNAK	468	93	1745	327
AHNAK2	363	83	209	169
AHR	126	42	283	140
AHRR	22	0	1	7
AHSA1	567	203	218	133
AHSA2	98	36	126	69
AHSG	0	2	0	0
AHSP	0	0	0	0
AICDA	3	8	1	0
AIDA	17	6	0	4
AIF1	7	6	1	10
AIF1L	105	74	12	61
AIFM1	162	56	72	42
AIFM2	21	23	1	10
AIFM3	1	0	0	0
AIG1	37	22	10	18
AIM1	3	12	1	21
AIM1L	0	0	0	0
AIM2	12	7	0	0
AIMP1	223	111	84	85
AIMP2	304	103	268	95
AIP	92	81	121	44
AIPL1	2	8	0	0
AIRE	0	0	0	0
AIRN	0	4	0	2
AJAP1	48	36	1	9
AJUBA	45	4	237	15
AK1	184	48	95	70
AK2	294	79	301	26
AK3	273	170	70	78
AK4	107	32	92	35
AK5	42	14	0	2
AK6	64	20	152	25
AK7	0	0	0	14
AK8	0	0	0	0
AK9	77	11	0	23
AKAP1	152	29	71	73
AKAP10	78	30	88	24
AKAP11	303	98	45	94
AKAP12	2765	1016	3174	1361
AKAP13	447	259	169	225
AKAP14	16	10	0	25
AKAP17A	526	345	148	64
AKAP2	894	187	1285	223
AKAP3	0	0	0	0
AKAP4	0	0	0	0
AKAP5	43	3	0	5
AKAP6	128	113	0	54
AKAP7	28	26	34	0
AKAP8	434	251	245	55
AKAP8L	584	378	130	116
AKAP9	2351	1137	713	684
AKIP1	207	68	185	32
AKIRIN1	434	148	229	100
AKIRIN2	257	73	58	114
AKNA	66	28	0	30
AKNAD1	17	0	0	12
AKR1A1	599	282	107	90
AKR1B1	330	68	354	66
AKR1B10	5	1	0	0
AKR1B15	0	6	0	0
AKR1C1	70	19	0	18
AKR1C2	212	44	0	23
AKR1C3	3	2	1	0
AKR1C4	0	0	0	0
AKR1C6P	0	0	0	0
AKR1C8P	1	0	0	0
AKR1D1	0	0	0	0
AKR1E2	0	3	0	0
AKR7A2	385	299	118	135
AKR7A2P1	0	0	0	0
AKR7A3	5	0	0	5
AKR7L	16	4	0	2
AKT1	43	20	48	14
AKT1S1	324	130	323	131
AKT2	636	151	640	379
AKT3	443	295	297	289
AKTIP	42	0	18	19
ALAD	31	13	109	10
ALAS1	71	25	156	13
ALAS2	5	0	0	4
ALB	10	7	3	8
ALCAM	1026	253	2649	1677
ALDH16A1	34	13	11	22
ALDH18A1	113	18	247	3
ALDH1A1	0	1	0	0
ALDH1A2	4	0	7	2
ALDH1A3	26	9	0	52
ALDH1B1	87	59	73	4
ALDH1L1	1	5	0	0
ALDH1L1-AS1	1	2	0	0
ALDH1L1-AS2	0	0	0	0
ALDH1L2	189	58	36	64
ALDH2	87	40	131	41
ALDH3A1	5	0	0	0
ALDH3A2	86	39	61	23
ALDH3B1	2	21	0	9
ALDH3B2	0	0	0	0
ALDH4A1	77	25	1	82
ALDH5A1	183	77	218	95
ALDH6A1	63	75	0	61
ALDH7A1	371	100	473	135
ALDH8A1	18	18	0	0
ALDH9A1	121	43	28	87
ALDOA	3992	2506	2379	813
ALDOB	2	0	1	13
ALDOC	112	27	1	6
ALG1	45	21	10	37
ALG10	28	7	0	36
ALG10B	82	102	134	16
ALG11	544	236	79	122
ALG12	38	14	78	2
ALG13	138	64	144	74
ALG14	33	0	57	11
ALG1L	0	0	0	8
ALG1L2	0	0	0	0
ALG1L9P	5	10	0	12
ALG2	84	20	31	26
ALG3	87	34	37	13
ALG5	209	58	150	71
ALG6	54	11	7	22
ALG8	62	4	146	17
ALG9	181	122	246	63
ALK	12	7	0	15
ALKBH1	16	6	0	1
ALKBH2	64	27	59	14
ALKBH3	130	41	263	20
ALKBH3-AS1	0	0	0	0
ALKBH4	60	19	11	4
ALKBH5	247	125	147	76
ALKBH6	31	4	47	2
ALKBH7	372	182	82	124
ALKBH8	76	32	58	22
ALLC	1	0	0	0
ALMS1	249	149	119	108
ALMS1-IT1	39	56	1	4
ALMS1P	1	0	0	0
ALOX12	0	2	0	0
ALOX12-AS1	4	2	0	0
ALOX12B	0	0	0	0
ALOX12P2	0	0	0	0
ALOX15	0	0	0	8
ALOX15B	0	0	0	0
ALOX15P1	0	0	0	0
ALOX5	6	8	0	9
ALOX5AP	2	0	0	0
ALOXE3	9	0	0	0
ALPI	0	0	0	0
ALPK1	24	3	0	1
ALPK2	77	1	286	5
ALPK3	20	15	6	11
ALPL	32	4	59	38
ALPP	4	0	0	0
ALPPL2	0	1	0	0
ALS2	130	34	129	50
ALS2CL	6	1	0	17
ALS2CR11	11	1	0	1
ALS2CR12	6	4	0	9
ALX1	45	3	87	50
ALX3	2	8	0	0
ALX4	28	4	2	38
ALYREF	614	269	518	235
AMACR	38	12	44	6
AMBN	0	0	0	0
AMBP	0	0	1	4
AMBRA1	135	116	69	60
AMD1	441	179	193	84
AMDHD1	3	0	0	1
AMDHD2	58	33	138	15
AMELX	0	0	0	0
AMELY	0	0	0	0
AMER1	169	71	0	24
AMER2	181	140	0	50
AMER3	147	32	0	30
AMFR	58	32	104	30
AMH	101	18	0	32
AMHR2	3	0	0	0
AMICA1	0	0	0	0
AMIGO1	7	3	0	12
AMIGO2	25	14	139	24
AMIGO3	68	17	0	15
AMMECR1	59	6	34	34
AMMECR1L	210	97	75	37
AMN	7	0	0	0
AMN1	69	14	0	10
AMOT	147	78	106	107
AMOTL1	572	175	494	143
AMOTL2	150	47	760	11
AMPD1	3	0	0	0
AMPD2	215	65	32	48
AMPD3	11	1	0	0
AMPH	99	81	1	66
AMT	38	36	34	32
AMTN	0	0	0	0
AMY1A	0	0	0	0
AMY1B	0	0	0	0
AMY1C	0	0	0	0
AMY2A	0	0	0	0
AMY2B	4	4	25	1
AMZ1	12	28	56	0
AMZ2	251	102	269	27
AMZ2P1	85	23	89	24
ANAPC1	28	11	33	6
ANAPC10	54	13	43	17
ANAPC11	859	300	509	188
ANAPC13	513	356	217	170
ANAPC15	37	35	1	11
ANAPC16	337	95	239	67
ANAPC1P1	0	0	0	0
ANAPC2	16	5	0	10
ANAPC4	84	47	142	54
ANAPC5	387	106	411	165
ANAPC7	345	105	48	100
ANG	10	1	0	7
ANGEL1	22	2	0	5
ANGEL2	299	267	78	94
ANGPT1	32	17	0	25
ANGPT2	79	38	0	37
ANGPT4	0	0	0	0
ANGPTL1	11	5	0	18
ANGPTL2	125	10	109	76
ANGPTL3	1	3	0	3
ANGPTL4	35	0	205	13
ANGPTL5	0	0	0	0
ANGPTL6	11	0	19	37
ANGPTL7	4	4	0	17
ANHX	0	0	0	0
ANK1	32	7	0	27
ANK2	779	383	98	578
ANK3	969	484	283	373
ANKAR	27	15	0	16
ANKDD1A	59	13	0	1
ANKDD1B	4	6	0	9
ANKEF1	16	4	0	0
ANKFN1	0	1	0	0
ANKFY1	210	71	25	56
ANKH	108	47	147	37
ANKHD1	934	532	373	318
ANKHD1-EIF4EBP3	967	509	249	350
ANKIB1	389	172	195	120
ANKK1	0	0	0	0
ANKLE1	4	2	0	0
ANKLE2	222	75	420	39
ANKMY1	2	0	0	0
ANKMY2	150	101	155	46
ANKRA2	349	168	149	76
ANKRD1	134	17	3068	5
ANKRD10	203	78	234	98
ANKRD11	2487	1195	823	686
ANKRD12	1477	651	293	396
ANKRD13A	266	147	276	65
ANKRD13B	144	30	48	18
ANKRD13C	95	64	89	55
ANKRD13D	178	68	118	21
ANKRD16	58	45	0	8
ANKRD17	1561	802	650	456
ANKRD18A	2	4	1	5
ANKRD18B	16	11	1	1
ANKRD18DP	0	1	0	0
ANKRD19P	144	85	29	24
ANKRD2	2	0	0	0
ANKRD20A1	0	0	0	0
ANKRD20A11P	0	0	0	0
ANKRD20A12P	0	0	0	0
ANKRD20A19P	0	1	0	16
ANKRD20A2	0	0	0	0
ANKRD20A3	0	0	0	0
ANKRD20A4	0	0	0	0
ANKRD20A5P	0	0	0	0
ANKRD20A8P	1	0	0	0
ANKRD20A9P	8	6	0	6
ANKRD22	0	3	0	0
ANKRD23	106	54	48	31
ANKRD24	22	0	1	0
ANKRD26	434	294	290	205
ANKRD26P1	0	0	0	0
ANKRD26P3	0	0	0	0
ANKRD27	102	42	0	20
ANKRD28	118	43	102	47
ANKRD29	25	0	0	13
ANKRD30A	0	0	0	0
ANKRD30B	0	0	0	0
ANKRD30BL	0	0	0	0
ANKRD30BP2	0	0	0	0
ANKRD30BP3	0	0	0	0
ANKRD31	2	5	0	0
ANKRD33	0	0	0	0
ANKRD33B	79	86	59	11
ANKRD34A	33	6	0	21
ANKRD34B	0	0	0	0
ANKRD34C	0	0	0	0
ANKRD34C-AS1	0	0	0	0
ANKRD35	37	31	0	0
ANKRD36	203	61	36	77
ANKRD36B	153	43	4	111
ANKRD36BP1	12	0	0	30
ANKRD36BP2	3	2	0	0
ANKRD36C	483	146	277	179
ANKRD37	15	1	47	13
ANKRD39	58	21	44	3
ANKRD40	56	23	218	31
ANKRD42	79	41	93	9
ANKRD44	43	22	0	15
ANKRD44-IT1	3	0	1	0
ANKRD45	55	9	97	1
ANKRD46	121	32	0	76
ANKRD49	190	68	69	48
ANKRD50	570	405	327	318
ANKRD52	266	73	153	84
ANKRD53	0	7	0	0
ANKRD54	88	38	3	36
ANKRD55	0	0	0	0
ANKRD6	84	40	14	49
ANKRD60	0	1	0	0
ANKRD61	0	0	0	0
ANKRD62	0	8	0	4
ANKRD62P1-PARP4P3	0	0	0	0
ANKRD63	0	0	0	0
ANKRD65	1	1	0	0
ANKRD66	0	0	0	0
ANKRD7	1	0	0	0
ANKRD9	142	235	37	31
ANKS1A	136	49	21	73
ANKS1B	32	15	9	47
ANKS3	105	42	21	48
ANKS4B	8	0	0	16
ANKS6	43	15	141	18
ANKUB1	1	0	0	0
ANKZF1	298	338	49	105
ANLN	26	13	18	37
ANO1	2	0	0	0
ANO1-AS2	0	0	0	0
ANO10	307	164	126	60
ANO2	0	0	0	0
ANO3	21	3	0	44
ANO4	21	12	0	20
ANO5	26	54	0	21
ANO6	78	48	370	52
ANO7	1	0	0	0
ANO8	137	56	122	28
ANO9	2	0	0	1
ANOS1	7	2	71	24
ANP32A	722	314	143	129
ANP32A-IT1	6	0	0	8
ANP32AP1	0	0	0	0
ANP32B	1733	1603	446	632
ANP32C	0	9	0	0
ANP32D	0	0	0	0
ANP32E	607	404	421	205
ANPEP	0	0	0	0
ANTXR1	87	12	399	125
ANTXR2	73	12	100	43
ANTXRL	0	0	0	0
ANTXRLP1	0	0	0	0
ANXA1	146	21	401	40
ANXA10	0	0	0	0
ANXA11	62	35	116	49
ANXA13	2	0	1	0
ANXA2	1342	165	3370	185
ANXA2P1	2	0	0	0
ANXA2P2	0	0	0	0
ANXA2P3	97	8	401	33
ANXA2R	14	9	0	0
ANXA3	1	0	0	5
ANXA4	37	0	35	2
ANXA5	247	73	775	186
ANXA6	547	136	325	413
ANXA7	94	18	80	54
ANXA8	0	0	0	0
ANXA8L1	0	0	0	0
ANXA9	9	0	0	9
AOAH	2	1	0	0
AOAH-IT1	0	0	0	0
AOC1	0	0	0	0
AOC2	4	0	46	0
AOC3	30	11	0	0
AOC4P	0	2	0	0
AOX1	11	2	0	2
AOX2P	0	0	0	3
AP1AR	110	77	58	40
AP1B1	360	286	308	135
AP1B1P1	0	0	0	0
AP1G1	324	132	470	62
AP1G2	60	24	0	34
AP1M1	506	137	294	72
AP1M2	3	0	0	0
AP1S1	1976	665	327	429
AP1S2	946	477	161	449
AP1S3	93	8	0	24
AP2A1	195	108	49	55
AP2A2	369	156	135	114
AP2B1	2716	2868	335	840
AP2M1	2019	587	943	533
AP2S1	2619	1152	1538	629
AP3B1	217	188	203	77
AP3B2	126	61	0	43
AP3D1	1135	672	737	343
AP3M1	132	49	115	27
AP3M2	507	89	94	86
AP3S1	154	25	230	27
AP3S2	292	200	1	99
AP4B1	51	14	64	24
AP4B1-AS1	0	0	0	0
AP4E1	76	34	28	12
AP4M1	112	39	153	51
AP4S1	45	4	52	31
AP5B1	86	6	74	25
AP5M1	36	11	3	17
AP5S1	37	18	76	2
AP5Z1	165	50	381	43
APAF1	180	123	87	38
APBA1	56	43	1	74
APBA2	348	151	167	130
APBA3	31	4	0	5
APBB1	327	132	1	61
APBB1IP	0	0	1	0
APBB2	233	53	268	43
APBB3	56	21	60	15
APC	824	273	240	410
APC2	577	200	31	163
APCDD1	65	2	0	20
APCDD1L	11	2	0	5
APCDD1L-AS1	14	0	0	1
APCS	0	0	0	0
APEH	593	324	324	186
APELA	17	0	1	1
APEX1	495	261	44	101
APEX2	47	17	53	23
APH1A	1453	780	875	330
APH1B	33	9	0	16
API5	112	52	111	46
APIP	52	19	0	5
APITD1	46	7	39	2
APITD1-CORT	63	21	2	29
APLF	13	11	0	12
APLN	4	1	0	0
APLNR	0	0	0	21
APLP1	711	477	120	280
APLP2	1567	544	1281	578
APMAP	341	146	517	119
APOA1	5	0	2	0
