enteric_50uM_OXL_1	enteric_50uM_OXL_2	sensory_50uM_OXL_
ACTG2	311.34502926357	291.927911404148	4.931267508043
ANKRD1	78.8662266943637	2985.44944062642	19.725070032172
CPA4	163.617992694277	826.155989273739	1.64375583601433
CYR61	181.274610610926	3999.41238623683	59.175210096516
IGFBP3	546.178047554997	3226.77651405385	92.0503268168027
IGFBP7	157.732453388727	1513.1596741115	46.0251634084014
KRT19	45.9072065832864	574.124892428158	8.21877918007167
LOC100289230	181.274610610926	68.1165126609679	0
NPR3	165.972208416497	743.443081042563	0
SNHG3	8677.63915210223	332.797819000729	235.05708455005
