0	S0008_IN	S0008_RIP	S0009_IN	S0009_RIP	S0014_IN	S0014_RIP	S0017_IN	S0017_RIP	S0025_IN	S0025_RIP	S0026_IN	S0026_RIP	S0030_IN	S0030_RIP	S0042_IN	S0042_RIP	S0057_IN	S0057_RIP	S0085_IN	S0085_RIP	COV00075_IN	COV00075_RIP	COV00079_IN	COV00079_RIP	COV00084_IN	COV00084_RIP	COV00087_IN	COV00087_RIP	COV00093_IN	COV00093_RIP	COV00106_IN	COV00106_RIP	COV00397_IN	COV00397_RIP	COV00413_IN	COV00413_RIP	COV00417_IN	COV00417_RIP	COV00419_IN	COV00419_RIP	COV00422_IN	COV00422_RIP	COV00432_IN	COV00432_RIP
ORF6_peak	2284	421	161	3381	8211	139	2715	790	128	998	666	832	416	871	390	2844	369	413	6156	3246	2507	3608	7	107	1362	4861	53	65	3741	3891	5856	1597	4594	4389	21222	3672	85	856	3842	1198	425	3180	15514	4242
ORF7a_peak	3499	421	294	6655	14463	1431	2807	790	157	1002	875	6317	478	6667	400	2858	370	413	9674	36390	2123	4478	3	103	1365	4952	46	70	3160	4273	5135	1974	3560	4519	8749	3667	81	876	2415	1203	403	3615	13720	5044
ORF7a_peak_2	2131	421	134	1269	6110	764	2749	790	123	998	337	2757	300	2849	393	2844	368	413	3621	14527	1523	3771	2	103	1132	4875	41	64	1852	3856	2940	1743	2537	4411	5199	3629	71	859	1495	1170	308	3261	7752	4301
ORF7a_peak_3	2801	421	212	6655	9871	781	2778	790	139	1002	595	3911	389	3857	400	2772	370	413	6509	21661	1740	4115	3	103	1245	4920	40	70	2403	4112	3892	1792	2901	4461	6501	3650	76	871	1662	1182	335	3456	9992	4767
ORF7a_peak_4	2131	421	134	1269	6110	764	2749	790	123	998	337	2757	300	2849	393	2844	368	413	3621	14527	1523	3771	2	103	1132	4875	41	64	1852	3856	2940	1743	2537	4411	5199	3629	71	859	1495	1170	308	3261	7752	4301
ORF7a_peak_5	2167	421	139	1269	6580	764	2749	790	127	998	378	2775	309	3290	393	2844	368	413	3930	16023	1580	3854	2	103	1148	4875	41	64	1966	3907	3133	1780	2620	4420	5410	3630	73	859	1575	1170	314	3282	8262	4505
ORF7a_peak_6	2643	421	190	5014	8675	1423	2742	790	136	998	511	4281	360	4359	397	2844	369	413	5622	21534	1622	3965	2	103	1189	4912	38	65	2101	4035	3459	1732	2692	4421	5163	3634	74	862	1509	1169	322	3472	8980	4661
ORF7a_peak_7	3499	421	294	6655	14463	1431	2807	790	157	1002	875	6317	478	6667	400	2858	370	413	9674	36390	2123	4478	3	103	1365	4952	46	70	3160	4273	5135	1974	3560	4519	8749	3667	81	876	2415	1203	403	3615	13720	5044
ORF8_peak	3283	423	287	1275	12603	1892	2835	790	151	1006	1051	3159	509	1500	399	2786	369	413	8892	19372	2647	5063	11	103	1396	5039	54	77	4245	4469	6391	1932	5227	4841	26354	3829	103	890	4705	1250	513	3688	20263	5239
ORF8_peak_2	2001	421	115	1274	5049	114	2769	790	130	1006	393	442	294	495	398	2774	369	413	3013	2981	1672	3688	8	103	1166	4911	42	71	2355	3876	3551	1627	3167	4459	14815	3706	81	886	2338	1168	350	3230	10996	4395
ORF8_peak_3	2784	423	235	1275	9643	1890	2804	790	138	1006	760	3149	434	1499	399	2786	369	413	6687	18407	2163	4899	5	103	1271	5039	49	74	3102	4380	4672	1932	4016	4774	14164	3766	90	890	3191	1242	411	3619	13734	5093
ORF8_peak_4	2225	421	128	1274	6223	115	2768	790	132	1006	511	488	331	616	398	2774	369	413	3957	7459	1876	3887	4	103	1209	4918	48	71	2717	3978	4011	1671	3640	4556	14475	3700	86	886	2642	1176	382	3236	12136	4318
ORF8_peak_5	3283	423	287	1275	12603	1892	2835	790	151	1006	1051	3159	509	1500	399	2786	369	413	8892	19372	2647	5063	11	103	1396	5039	54	77	4245	4469	6391	1932	5227	4841	26354	3829	103	890	4705	1250	513	3688	20263	5239
N_peak	8476	866	830	1273	30799	7947	3015	790	195	1018	2206	28770	1070	16384	404	2787	375	417	26340	128085	4656	12258	17	118	2075	5626	78	119	8405	8294	14770	3764	11895	7428	43889	4832	153	927	12300	2138	832	6493	47643	13003
N_peak_2	8456	3059	707	1322	28421	14986	3086	789	208	1027	1847	33723	869	15945	403	2840	392	417	24258	95929	4403	13771	22	104	1983	5594	62	90	7945	8859	14058	3533	13219	7316	69606	4855	171	963	15661	2033	803	7144	44834	11020
N_peak_3	7649	1408	702	1458	28700	16501	3091	789	221	1507	2277	15945	1109	13503	407	2919	386	417	25334	104380	4324	14121	13	107	1904	5505	56	108	7215	7858	12894	3662	7916	7033	12247	4115	116	951	5668	1615	709	7722	33218	8472
N_peak_4	5742	408	554	1272	20963	4590	2898	789	169	1017	1451	19919	743	10352	402	2787	374	417	17656	87390	3487	9768	12	113	1687	5404	66	104	5667	6935	10009	3276	8444	6568	28197	4501	124	921	7933	1832	611	5684	32525	10330
N_peak_5	4594	1184	398	1322	15035	11563	2947	789	175	1338	1266	9762	693	7295	403	2919	380	417	12799	53115	2746	8995	9	101	1467	5352	47	92	4127	5667	7347	2527	4909	5836	7208	3984	99	932	3354	1443	470	5238	18765	6398
N_peak_6	7111	408	704	1273	26449	6932	2976	790	186	1017	1881	25291	923	12839	404	2787	374	417	22295	110218	4134	10771	15	117	1900	5502	76	114	7235	7500	12798	3602	10286	6933	34193	4611	139	921	10156	1957	753	5980	40830	11249
N_peak_7	7768	868	786	1273	30089	7792	3006	790	201	1017	2193	26951	1025	14988	404	2788	373	417	25391	129130	4467	12031	15	117	1978	5627	80	120	7770	7782	13908	4033	10684	7182	31740	4606	136	920	10163	1891	783	6792	44565	12304
N_peak_8	5405	960	420	1596	16993	9610	2963	789	178	1484	1365	10666	743	7315	409	2937	386	417	15902	58001	3046	8330	9	99	1534	5388	41	81	4723	5810	8151	2585	5992	5534	11228	4086	98	958	4457	1482	492	4921	21557	5556
N_peak_9	8606	866	835	1273	31082	7952	3015	790	197	1018	2230	28918	1075	17171	404	2787	375	417	26592	129928	4789	12531	18	120	2096	5626	81	119	8645	8438	15128	3826	12353	7579	46974	4902	156	930	13049	2169	855	6575	49207	13428
N_peak_10	6093	1707	497	1272	18298	8972	2904	789	163	1018	1235	21818	635	13014	399	2834	384	417	15842	69535	3150	9771	15	105	1595	5381	57	85	5182	7099	8908	2918	8914	6419	50249	4661	127	942	10684	1837	584	5351	29349	8795
N_peak_11	2880	1486	173	1319	8622	2936	2917	789	150	1025	534	6176	399	1966	401	2838	377	417	6195	17529	2026	6015	9	101	1285	5107	38	69	3165	4897	5276	1967	4293	5009	15604	3870	95	913	3853	1289	415	4510	14569	5226
N_peak_12	4272	627	339	1323	13784	9213	2951	789	164	1194	1036	8724	615	6548	403	2919	381	417	11333	52018	2576	8907	8	102	1424	5361	43	90	3969	5703	6807	2594	4545	5726	6436	3861	98	925	2862	1360	465	5513	17596	6756
N_peak_13	6755	408	669	1272	25062	6932	2967	790	184	1017	1802	23796	885	12020	404	2787	374	417	20913	103525	4007	10506	15	116	1858	5470	74	112	6969	7280	12316	3563	9712	6794	30016	4522	133	915	9433	1896	732	5847	38927	10913
N_peak_14	4644	1441	370	1272	13878	6682	2875	789	148	1018	899	16856	507	9135	399	2791	378	417	11408	51299	2521	7973	11	102	1406	5204	50	80	3862	5991	6512	2330	6657	5793	34778	4348	109	927	7209	1654	468	4629	21063	7218
N_peak_15	3513	1501	224	1320	8796	3810	2854	789	154	1025	502	10698	360	4133	398	2836	378	417	6556	24087	1904	6104	8	101	1249	5218	40	69	2707	4846	4583	1860	5334	5035	19435	3871	104	917	4905	1266	384	4468	13665	6232
N_peak_16	7520	408	745	1273	27685	6933	2978	790	189	1017	1959	26524	953	13826	404	2787	375	417	23289	113378	4295	11239	16	117	1957	5508	76	115	7619	7690	13397	3690	10771	7093	38041	4681	144	921	10904	2000	784	6124	43074	11570
N_peak_17	5669	866	450	1272	16643	9274	2898	789	151	1019	1168	19040	615	11656	399	2791	384	417	14546	68442	3042	9291	14	105	1550	5248	55	86	4979	6868	8468	2565	7953	6236	45668	4652	123	944	9591	1819	558	5203	27630	8502
N_peak_18	5381	852	476	1323	19870	13830	3004	789	187	1194	1529	11568	810	9629	403	2919	381	417	16481	70792	3037	10444	10	103	1529	5484	47	93	4818	6324	8297	2679	5182	6113	7472	3905	105	928	3303	1392	535	6263	21210	7444
N_peak_19	13000	2168	1258	1275	46941	16129	3162	790	244	1020	3312	50342	1474	29274	405	2835	388	417	41099	201284	6676	18709	29	123	2638	5896	99	144	12441	11563	22015	5264	18853	9490	89927	5789	213	972	22001	2788	1164	8789	73296	17689
N_peak_20	7623	1742	689	1457	27068	19526	3050	789	220	1651	2219	17025	1115	12538	410	2937	388	417	25103	94616	4309	12606	11	104	1870	5591	53	103	6872	7290	12520	3392	8288	6642	14816	4238	112	967	6361	1697	670	6535	32535	7246
N_peak_21	3401	627	243	1320	11100	4729	2901	789	146	1027	791	5983	488	5129	402	2919	379	417	8347	40483	2240	7832	8	102	1330	5286	40	76	3413	5357	5365	2228	3625	5435	4918	3832	95	921	1897	1266	412	5241	13867	6117
N_peak_22	12227	1327	1189	1275	44609	16117	3158	790	233	1020	3160	46898	1426	26915	405	2792	388	417	39019	193831	6408	17823	28	123	2548	5890	97	142	11907	11107	20982	4877	17177	9168	82399	5741	197	967	20174	2686	1118	8454	69725	16843
N_peak_23	4702	1184	371	1453	15381	9862	2940	789	176	1340	1233	7723	692	6483	406	2919	383	417	13480	52123	2639	7865	7	101	1434	5264	42	84	3832	5525	6853	2628	4894	5495	7604	4033	96	944	3353	1452	448	4754	17391	5368
N_peak_24	5507	1707	443	1272	16406	9422	2896	789	160	1018	1040	19907	548	10553	399	2834	380	417	13605	59652	2731	8639	13	102	1464	5411	50	82	4259	6294	7291	2524	7546	5968	40190	4395	118	931	8455	1674	510	4962	23633	7871
N_peak_25	3353	1486	198	1319	9882	3639	2907	789	154	1025	608	9123	419	3343	400	2836	378	417	7375	22552	2144	6409	11	101	1316	5104	39	71	3408	5009	5729	2018	5368	5097	19828	3951	106	917	4919	1302	423	4619	16374	5727
N_peak_26	4067	627	321	1321	12700	9143	2943	789	164	1194	946	7769	583	5729	403	2919	381	417	10489	46865	2420	8295	8	101	1373	5361	42	90	3657	5548	6300	2367	4280	5591	6049	3860	97	922	2658	1359	448	5384	16302	6421
N_peak_27	7240	408	720	1273	26931	6932	2976	790	187	1017	1913	25979	931	12839	404	2787	375	417	22662	110541	4188	10962	15	117	1921	5502	76	114	7353	7591	13013	3688	10457	6978	35497	4651	139	921	10406	1970	759	6035	41635	11462
N_peak_28	5910	1707	483	1272	17728	11006	2904	789	163	1018	1133	21842	587	11805	399	2834	383	417	14940	63914	2923	9162	14	102	1534	5437	51	85	4704	6699	8114	2653	8233	6186	45032	4487	125	936	9604	1766	537	5116	26422	8191
N_peak_29	4121	627	330	1323	13176	7602	2950	789	159	1194	989	7576	586	6493	403	2919	380	417	10693	49332	2508	8722	8	102	1407	5268	43	88	3857	5658	6565	2572	4432	5689	6186	3848	96	925	2774	1340	451	5484	16933	6724
N_peak_30	4137	1486	279	1320	12309	6401	2935	789	166	1025	750	12065	467	4622	400	2836	380	417	9436	31209	2385	7418	12	101	1394	5305	43	71	3915	5425	6636	2187	6483	5365	26569	4011	116	922	6476	1378	473	5075	19489	6688
N_peak_31	5511	408	540	1272	20352	4451	2897	789	167	1017	1402	19250	729	9987	402	2787	374	417	17040	83252	3367	9439	12	113	1656	5391	64	99	5403	6753	9458	3195	8140	6433	27513	4495	124	921	7653	1814	589	5539	31019	9862
N_peak_32	4255	1707	330	1272	12418	5987	2867	789	145	1018	810	12730	469	8800	399	2834	376	417	10230	47788	2361	7889	11	102	1334	5208	46	81	3389	5879	5777	2440	6061	5704	24513	4167	104	922	5806	1535	431	4680	17946	7145
N_peak_33	3355	403	254	1321	9506	5939	2920	789	155	1194	726	5218	489	3953	403	2919	380	417	7888	35630	2053	6931	6	101	1286	5359	40	83	2898	5029	5093	1984	3709	5275	5022	3831	94	922	2239	1298	384	4757	12839	5777
N_peak_34	4995	1184	413	1453	16421	5170	2946	789	175	1340	1329	9034	708	7494	406	2921	382	417	14393	54961	2833	8391	8	101	1489	5285	43	82	4242	5796	7518	2719	5403	5608	9291	4083	99	945	3847	1503	479	5059	19358	5569
N_peak_35	3401	627	243	1320	11100	4729	2901	789	146	1027	791	5983	488	5129	402	2919	379	417	8347	40483	2240	7832	8	102	1330	5286	40	76	3413	5357	5365	2228	3625	5435	4918	3832	95	921	1897	1266	412	5241	13867	6117
N_peak_36	15096	2997	1430	1325	54759	22443	3238	790	285	1027	3783	60655	1645	32174	405	2837	392	417	47370	217394	7615	21729	36	124	2936	6199	105	141	14580	12940	25806	5486	22825	10267	112035	6046	249	992	27134	3004	1346	10046	85496	19647
N_peak_37	4121	627	330	1323	13176	7602	2950	789	159	1194	989	7576	586	6493	403	2919	380	417	10693	49332	2508	8722	8	102	1407	5268	43	88	3857	5658	6565	2572	4432	5689	6186	3848	96	925	2774	1340	451	5484	16933	6724
N_peak_38	14641	2997	1380	1325	52355	19856	3228	790	274	1027	3617	59240	1579	31803	405	2837	392	417	45658	213362	7287	20938	33	124	2819	6135	103	140	13762	12572	24456	5202	21914	10019	105498	5953	245	987	25740	2905	1287	9659	81247	19153
N_peak_39	5236	1400	457	1321	18219	14465	2970	789	183	1194	1419	10950	783	8839	403	2919	381	417	15093	67533	3042	10584	9	104	1535	5375	50	97	4664	6318	8283	2856	5342	6192	7848	3979	106	928	3541	1475	531	5983	21460	7073
N_peak_40	6407	408	603	1272	22730	4585	2915	789	172	1018	1593	18483	817	13342	402	2787	374	417	19337	89287	3703	10029	14	112	1752	5360	65	103	6198	7048	10645	3198	9331	6747	36766	4558	136	923	9527	1859	655	5637	35303	10789
N_peak_41	11469	3281	1039	1327	42090	24122	3234	789	256	1194	2915	42893	1315	22670	404	2919	394	417	36548	148253	6114	20094	28	108	2464	6002	74	116	11421	11232	20284	4594	16310	8892	73527	4991	199	973	17935	2232	1082	10104	60994	13818
N_peak_42	6442	1742	541	1596	22132	11600	2984	789	196	1484	1812	13654	928	9958	409	2937	386	417	20186	77143	3579	10333	10	102	1683	5388	46	88	5592	6451	9846	3080	6914	6062	12817	4191	106	964	5218	1590	565	5502	26062	6189
N_peak_43	24563	5082	2443	1609	97055	48352	3683	790	432	1653	7183	88207	3032	51966	417	2939	410	417	86858	380277	12793	37780	51	134	4336	7046	142	204	24413	19245	43982	8871	33242	14254	134660	6802	323	1061	36359	3705	2102	16776	135752	26502
N_peak_44	8476	866	830	1273	30799	7947	3015	790	195	1018	2206	28770	1070	16384	404	2787	375	417	26340	128085	4656	12258	17	118	2075	5626	78	119	8405	8294	14770	3764	11895	7428	43889	4832	153	927	12300	2138	832	6493	47643	13003
N_peak_45	3757	1248	257	1271	9021	3556	2825	789	150	1018	546	11280	362	6712	398	2834	377	417	7034	28777	2016	6668	9	100	1287	5260	40	71	2854	5071	4930	2280	6606	5416	25446	3993	111	919	6196	1432	393	4455	15317	6839
N_peak_46	4067	627	321	1321	12700	9143	2943	789	164	1194	946	7769	583	5729	403	2919	381	417	10489	46865	2420	8295	8	101	1373	5361	42	90	3657	5548	6300	2367	4280	5591	6049	3860	97	922	2658	1359	448	5384	16302	6421
ORF10_peak	2985	401	251	2095	8260	1519	2924	789	146	1030	722	14808	472	12754	403	2940	385	417	6858	44419	1981	6548	10	104	1325	5449	47	83	3239	5798	5326	2833	4490	5237	9794	4000	98	951	3646	1375	395	5120	15439	5470
