Threshold	NumGenes	Correlation
Inf	0	NA
5.62766888944911	2101	0.568139596903459
5.5234409645023	2283	0.563937106737929
5.42251901968211	2454	0.56076618820643
5.31234724540634	2652	0.556938982491385
5.21410369468569	2856	0.552266686769998
5.11327244243969	3045	0.545707684681552
5.0189524403283	3237	0.541844132790606
4.92280838370561	3446	0.537566434633841
4.83297590086618	3667	0.534795165933136
4.73831692022652	3873	0.532246322055089
4.64052275490123	4077	0.528367508312679
4.54848694535242	4298	0.524586101916159
4.45742562212634	4509	0.519510128042944
4.3725170663056	4737	0.515626352050547
4.27474364435778	4949	0.513353781644578
4.18432008919401	5172	0.508920514110927
4.08846305936777	5396	0.504659036778186
3.98955541940223	5605	0.502241603536086
3.89357795986946	5821	0.498370932793371
3.79907811158909	6037	0.494860551488908
3.70793959764754	6276	0.491516682448626
3.60755607162997	6497	0.489354690106865
3.50526844085035	6720	0.486201237829202
3.41285565516167	6940	0.483019078054036
3.32270564531423	7160	0.481273257506937
3.22074704769242	7385	0.479754963510517
3.11668580031743	7612	0.478694581442986
3.0220530441513	7819	0.47729210315294
2.92975481639018	8036	0.474550870369007
2.82710924631921	8257	0.471782205014556
2.72472864450004	8481	0.470251565534488
2.63199172488984	8706	0.46881485343477
2.53146667056023	8927	0.466616205602573
2.43091011379831	9146	0.464178076179397
2.31921788790273	9345	0.461800879236475
2.17811514478653	9597	0.460871832118195
2.03838262745043	9812	0.460860717087156
1.87682422629054	10074	0.460717298005778
1.76772155541253	10239	0.459888219005852
1.76772155541253	10239	0.459888219005852
1.76772155541253	10239	0.459888219005852
1.76772155541253	10239	0.459888219005852
1.76088198710405	10349	0.450535248575092
1.53873151334326	10653	0.450410967753044
1.32188099861626	10957	0.451386805794608
1.06316445916525	11258	0.452240977879388
0.803169407201622	11565	0.453016543207682
0.545656555062814	11870	0.455153395158152
0.220581768935831	12174	0.458244267983023
-0.181342686646676	12478	0.461614519248008
-0.880203890746712	12779	0.465495305711178
-1.37282360494203	12857	0.466424920009023
-1.37282360494203	12857	0.466424920009023
-1.37282360494203	12857	0.466424920009023
-1.37282360494203	12857	0.466424920009023
-1.37282360494203	12857	0.466424920009023
-1.37282360494203	12857	0.466424920009023
-1.37282360494203	12857	0.466424920009023
-1.37282360494203	12857	0.466424920009023
